position_id,community_id,display_role,display_role_label,dominant_structural_role,observed_status,prompt_ready,in_largest_component,has_prompt_peer_capacity
9,1,high_visibility_sender,high visibility sender,broker_bridge,prompt_ready,True,True,True
10,1,context_position,context position,broker_bridge,prompt_ready,True,True,True
49,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
105,1,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
144,2,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
223,0,high_visibility_sender,high visibility sender,cluster_core,prompt_ready,True,True,True
242,0,high_exposure_receiver,high exposure receiver,exposed_receiver,prompt_ready,True,True,True
243,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
265,1,peripheral,peripheral,peripheral_receiver,observed_not_prompt_ready,False,True,False
275,1,high_visibility_sender,high visibility sender,visible_sender,prompt_ready,True,True,True
351,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
409,0,context_position,context position,broker_bridge,prompt_ready,True,True,True
444,0,peripheral,peripheral,broker_bridge,prompt_ready,True,True,True
516,0,context_position,context position,visible_sender,prompt_ready,True,True,True
550,2,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
552,2,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
679,1,bridge,bridge,broker_bridge,prompt_ready,True,True,True
944,1,context_position,context position,exposed_receiver,prompt_ready,True,True,True
988,0,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
1000,0,high_exposure_receiver,high exposure receiver,cluster_core,prompt_ready,True,True,True
1016,0,peripheral,peripheral,cluster_core,prompt_ready,True,True,True
1017,1,context_position,context position,exposed_receiver,prompt_ready,True,True,True
1083,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
1175,0,bridge,bridge,broker_bridge,prompt_ready,True,True,True
1238,3,bridge,bridge,cross_community_connector,prompt_ready,True,True,True
1318,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
1347,2,bridge,bridge,peripheral_receiver,prompt_ready,True,True,True
1387,0,context_position,context position,visible_sender,prompt_ready,True,True,True
1530,0,peripheral,peripheral,peripheral_receiver,prompt_ready,True,True,True
1535,2,peripheral,peripheral,broker_bridge,observed_not_prompt_ready,False,True,False
1587,4,bridge,bridge,broker_bridge,observed_not_prompt_ready,False,True,False
