family,moderator,beta_std,ci_low,ci_high,p_value,q_value,significant
Big Five,Openness,0.04168544075971361,0.020087933795958093,0.06328294772346912,0.00015498996968405456,0.003564769302733255,True
Big Five,Conscientiousness,-0.03462799167517564,-0.05527672271977355,-0.013979260630577736,0.0010130894983344694,0.011650529230846399,True
Big Five,Neuroticism,0.029534585591226174,0.008793236809296966,0.05027593437315538,0.005256410661179626,0.04029914840237714,True
Ideology,Socio-cultural lib-cons,-0.021447402366246583,-0.04288038145758326,-1.4423274909903389e-05,0.04984602650886252,0.2866146524259595,False
Ideology,GAL-TAN (traditional),-0.017371132275349255,-0.03850943498785467,0.0037671704371561553,0.10725204330008148,0.3967412939685905,False
Political Psychology,Populist attitudes,0.016558148411736234,-0.005526694933383609,0.03864299175685608,0.14170093743849924,0.3967412939685905,False
Big Five,Agreeableness,0.016252707640614223,-0.0046176373414465975,0.03712305262267504,0.12693142254301612,0.3967412939685905,False
Moral Foundations,MFT authority,0.014747619380544811,-0.005857589609672746,0.03535282837076237,0.16067915537389144,0.3967412939685905,False
Ideology,Economic left-right,0.014697420335928087,-0.006429263424060347,0.03582410409591652,0.1727222829903743,0.3967412939685905,False
Political Psychology,Nationalism,0.014565714058427085,-0.006973619023573978,0.03610504714042815,0.18503785682360196,0.3967412939685905,False
Demographics,Age,-0.014169495599692964,-0.03534774375629119,0.00700875255690526,0.18974583624584762,0.3967412939685905,False
Political Psychology,Political efficacy,-0.012123357478199266,-0.033204009502451504,0.008957294546052975,0.2596733091888507,0.4977071759452971,False
Political Psychology,Political trust,-0.010207108710459581,-0.031948343488460665,0.011534126067541504,0.35748552810740086,0.6324743958823247,False
Moral Foundations,MFT care,-0.0076350542868033,-0.028626512754638053,0.01335640418103145,0.47591882184645684,0.7805544482798605,False
Political Psychology,Collective narcissism,0.007157930124397344,-0.014088700341810891,0.028404560590605577,0.5090572488781699,0.7805544482798605,False
Ideology,Authoritarianism,-0.006054564657294273,-0.026757396980162274,0.014648267665573728,0.5665136930854069,0.8143634338102724,False
Political Psychology,System justification,-0.004077198846550406,-0.02535934592670626,0.017204948233605445,0.7072985456976962,0.8757627948454131,False
Political Psychology,Social dominance orientation,-0.003954845728538887,-0.025035638817910894,0.01712594736083312,0.7130987951339861,0.8757627948454131,False
Big Five,Extraversion,-0.0035895706291207566,-0.025299326944444204,0.018120185686202692,0.7458868374354284,0.8757627948454131,False
Moral Foundations,MFT sanctity,0.003213113123671303,-0.017538913596837454,0.02396513984418006,0.7615328650829679,0.8757627948454131,False
Moral Foundations,MFT fairness,0.0026971233233464694,-0.01854850034875231,0.02394274699544525,0.8035026233780758,0.8800266827474164,False
Political Psychology,Right-wing authoritarianism,-0.0008707262726921844,-0.02145128731408282,0.019709834768698455,0.9339131415288624,0.9763637388710834,False
Moral Foundations,MFT loyalty,4.528195988373791e-05,-0.020623977598940774,0.020714541518708253,0.9965740019254277,0.9965740019254277,False
