family,moderator,beta_std,ci_low,ci_high,p_value,q_value,significant
Big Five,Openness,0.04035059606597819,0.018848756155878416,0.061852435976077966,0.0002349865054519061,0.0011749325272595304,True
Big Five,Conscientiousness,-0.03498436084026381,-0.05550525626140657,-0.014463465419121045,0.0008336336912074914,0.0020840842280187284,True
Big Five,Extraversion,-0.0024344540418975223,-0.02406781369130841,0.019198905607513365,0.8254354654982428,0.8254354654982428,False
Big Five,Agreeableness,0.017148996855266593,-0.0036717934668283117,0.0379697871773615,0.10645805525109839,0.13307256906387296,False
Big Five,Neuroticism,0.02967352432983017,0.008973987546132316,0.050373061113528024,0.004959104423095074,0.008265174038491791,True
Political Psychology,Right-wing authoritarianism,-0.0008897716049795189,-0.02151130738378723,0.019731764173828194,0.9326049071914431,0.9326049071914431,False
Political Psychology,Social dominance orientation,-0.003718732031532463,-0.02477181801163311,0.017334353948568183,0.7291923260689037,0.83793152199683,False
Political Psychology,System justification,-0.0037108470129883623,-0.02504685285296446,0.017625158826987734,0.7331900817472262,0.83793152199683,False
Political Psychology,Populist attitudes,0.018124522375031062,-0.003960450375161073,0.0402094951252232,0.10772836761064958,0.6682545732890826,False
Political Psychology,Collective narcissism,0.007560713108675747,-0.013671827544427499,0.028793253761778992,0.48522396768053755,0.7763583482888601,False
Political Psychology,Nationalism,0.015221831354430023,-0.006370574957824083,0.03681423766668413,0.16706364332227064,0.6682545732890826,False
Political Psychology,Political trust,-0.009951701310120999,-0.03162827325481263,0.01172487063457063,0.3682169531044771,0.7364339062089542,False
Political Psychology,Political efficacy,-0.01216547006565251,-0.03322604068701414,0.008895100555709115,0.2575682203194961,0.6868485875186563,False
Ideology,Economic left-right,0.016022817401375403,-0.005065707644808407,0.03711134244755922,0.13644577695640195,0.18192770260853594,False
Ideology,Socio-cultural lib-cons,-0.022238415879184324,-0.0435870971080909,-0.000889734650277748,0.041186451661256555,0.16474580664502622,False
Ideology,GAL-TAN (traditional),-0.018269230417299186,-0.03940379043422218,0.0028653295996238087,0.09021953684682535,0.1804390736936507,False
Ideology,Authoritarianism,-0.0059745284030588135,-0.026679552396812294,0.014730495590694668,0.5716953192073773,0.5716953192073773,False
Moral Foundations,MFT care,-0.008601609535419323,-0.029599058719444855,0.01239583964860621,0.4220327301667183,0.9233155275475959,False
Moral Foundations,MFT fairness,0.0027696706563690617,-0.018439785918910434,0.023979127231648557,0.7979932930332505,0.9233155275475959,False
Moral Foundations,MFT loyalty,-0.001011654862475825,-0.02161049829384116,0.01958718856888951,0.9233155275475959,0.9233155275475959,False
Moral Foundations,MFT authority,0.016514985579390122,-0.004119132719074513,0.03714910387785476,0.11671745679587607,0.5835872839793803,False
Moral Foundations,MFT sanctity,0.0024327621591706946,-0.01837580416815172,0.023241328486493112,0.8187581878191597,0.9233155275475959,False
Demographics,Age,-0.014616110839091501,-0.035852332709129964,0.00662011103094696,0.17734622984608506,0.17734622984608506,False
