2026-06-21 20:24:46 | INFO | __main__ | Stage 06: attacks are near-unique (2500 distinct over 2500 scenarios); pooling attacks for the conditional-susceptibility index and grouping by DISARM Execute tactic for the ML stack.
2026-06-21 20:26:50 | INFO | __main__ | Stage 06: attacks are near-unique (2500 distinct over 2500 scenarios); pooling attacks for the conditional-susceptibility index and grouping by DISARM Execute tactic for the ML stack.
2026-06-21 20:49:17 | INFO | __main__ | Stage 06: attacks are near-unique (800 distinct over 800 scenarios); pooling attacks for the conditional-susceptibility index and grouping by DISARM Execute tactic for the ML stack.
2026-06-21 21:13:53 | INFO | __main__ | Fitting Ridge (all 32 features) ...
2026-06-21 21:13:58 | INFO | __main__ | Ridge full-feature: CV-R²=-0.010 (±0.013), α=10000.0000
2026-06-21 21:13:58 | INFO | __main__ | Fitting Elastic Net (LASSO selector) on 32 features ...
2026-06-21 21:14:01 | INFO | __main__ | Elastic Net: CV-R²=-0.001 (±0.011), α=0.5902, l1_ratio=1.00, 3/32 features selected
2026-06-21 21:14:01 | INFO | __main__ | Fitting Random Forest on 32 features ...
2026-06-21 21:14:59 | INFO | __main__ | Random Forest OOB R²=-0.042
2026-06-21 21:14:59 | INFO | __main__ | Building profile correlation network on 32 features ...
2026-06-21 21:14:59 | INFO | __main__ | Network: 32 nodes, 5 edges, density=0.010, 27 communities, modularity=0.800
2026-06-21 21:15:09 | INFO | __main__ | ICC results: {'abs_delta_score': 0.8576, 'delta_score': 0.4391, 'adversarial_effectivity': 0.8576}
2026-06-21 21:15:09 | INFO | __main__ | Running advanced inferential layer ...
2026-06-21 21:15:09 | INFO | __main__ | Advanced/mixed-effects layer fixed effects: 3 moderators
2026-06-21 21:15:25 | INFO | __main__ | Running scenario-level ML moderation stack ...
