source_position_id,target_position_id,exposure_weight,rank_for_receiver,interaction_types,edge_layer,backbone_reason
313305,106070,0.4119450152821966,2.0,Repost,context_induced_prompt_top30,
369106,106070,0.3513383439627541,3.0,Repost,context_induced_prompt_top30,
31772,106070,0.236156756408759,4.0,"Like,Repost",context_induced_prompt_top30,
71058,106070,0.2286284660057276,5.0,"Like,Repost",context_induced_prompt_top30,
345402,106070,0.2085869893705163,6.0,Repost,context_induced_prompt_top30,
345831,106070,0.2085869893705163,7.0,Repost,context_induced_prompt_top30,
61017,106070,0.2000251552656693,8.0,"Like,Repost",context_induced_prompt_top30,
363863,106070,0.1401159247533886,10.0,Quote,context_induced_prompt_top30,
31639,106070,0.1283131159360933,11.0,Repost,context_induced_prompt_top30,
83111,106070,0.1283131159360933,12.0,Repost,context_induced_prompt_top30,
107328,106070,0.1283131159360933,13.0,Repost,context_induced_prompt_top30,
108461,106070,0.1283131159360933,14.0,Repost,context_induced_prompt_top30,
235919,106070,0.1283131159360933,18.0,Repost,context_induced_prompt_top30,
258451,106070,0.1283131159360933,19.0,Repost,context_induced_prompt_top30,
9057,107328,1.0,1.0,"Like,Quote,Repost",context_induced_prompt_top30,
31639,107328,1.0,2.0,"Like,Quote,Repost",context_induced_prompt_top30,
189612,107328,1.0,5.0,"Like,Quote,Repost",context_induced_prompt_top30,
247716,107328,1.0,8.0,"Quote,Repost",context_induced_prompt_top30,
253818,107328,1.0,9.0,"Like,Quote,Repost",context_induced_prompt_top30,
384107,107328,1.0,12.0,"Like,Quote,Repost",context_induced_prompt_top30,
186886,107328,0.9885200266013524,14.0,"Like,Quote,Repost",context_induced_prompt_top30,
401074,107328,0.9868635508930644,15.0,"Like,Quote,Repost",context_induced_prompt_top30,
42292,107328,0.9705944900043868,21.0,"Like,Quote,Repost",context_induced_prompt_top30,
301335,107328,0.9435187758855716,27.0,"Like,Quote,Repost",context_induced_prompt_top30,
296407,108461,0.4784353075224832,1.0,"Like,Quote,Repost",context_induced_prompt_top30,
305956,108461,0.2469837084961317,3.0,Like,context_induced_prompt_top30,
