alignment_condition_id,condition_index,opinion_index,attack_index,opinion_label,attack_label,target_alignment_z,achieved_alignment_z,profile_id,exposure_position_id,ae_private,ae_private_percentile_within_condition,exposure_outgoing_visibility_weight,sender_reach_percentile_within_condition,node_area,layout_x,layout_y
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0287,31639,0.0,0.02,1411.096550742696,1.0,136.0,0.15320712199919215,-0.06421629567665527
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0610,61017,0.0,0.02,1380.514047713456,0.99,134.82,-0.2811031277258912,0.051405400399938427
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0747,377169,0.0,0.02,1250.473657686172,0.98,133.64,-0.19325450500507096,0.11094509184574186
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0535,363863,4.0,0.04,1242.482382717748,0.97,132.45999999999998,-0.19196392837051937,0.16337159324040046
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0795,108461,7.0,0.05,1044.1585959231788,0.96,131.28,-0.35641565248915746,0.26413332161175945
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0633,31772,8.0,0.06,1031.385356771597,0.95,130.1,-0.08764134363350684,0.115088673153845
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0649,369106,9.0,0.07,1020.2121868691466,0.94,128.92,-0.25841405626389324,0.09200505072907886
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0503,345831,10.0,0.08,984.7526658749454,0.93,127.74000000000001,-0.34600394171921184,0.032203442385468656
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0395,258451,11.0,0.095,941.3982741273376,0.92,126.56,-0.0013348034920679331,0.06909745651392292
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0148,115748,11.0,0.095,864.0790424099247,0.91,125.38000000000001,-0.53277080856193,0.406237256137291
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0717,267868,12.0,0.135,856.4234967177572,0.9,124.2,-0.2787063419722436,0.19170672243762416
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0519,336741,12.0,0.135,823.4245157695827,0.89,123.02,-0.09190631446934198,0.01629759230328143
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0472,241036,12.0,0.135,800.3580075086691,0.88,121.84,-0.4763167373229029,0.5510764348474887
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0353,345402,12.0,0.135,782.3050444692047,0.87,120.66,-0.46111052016705295,0.13202803773280583
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0325,83111,12.0,0.135,771.7564739211396,0.86,119.48,-0.23022766275792264,0.3532447705589596
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0165,235919,12.0,0.135,689.8402743889386,0.85,118.3,-0.5209892404510001,0.24546303614882028
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0669,194290,13.0,0.185,689.1911475935063,0.84,117.11999999999999,0.3418907594847087,-0.2474584410865994
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0345,247716,13.0,0.185,657.2179268222861,0.83,115.94,0.5204834621615103,-0.39900664719198736
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0172,313305,13.0,0.185,561.3581423560343,0.82,114.75999999999999,-0.33489341774629144,-0.0614848176992214
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0144,255702,13.0,0.185,526.6783333846322,0.81,113.58000000000001,-0.1914050019479145,-0.013478209923190692
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0760,107328,14.0,0.285,504.03586862669806,0.8,112.4,0.42240573506283746,-0.17726061331960719
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0716,9057,14.0,0.285,500.34946868055874,0.79,111.22,0.4513318954153744,-0.3474382050574907
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0688,233047,14.0,0.285,489.5502042854534,0.78,110.04,-0.3034656905159872,0.4082463593622186
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0458,383153,14.0,0.285,474.76795613267535,0.77,108.86,0.061460698333706806,0.19934947034417314
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0427,348993,14.0,0.285,468.4942397308576,0.76,107.68,-0.471657539591825,-0.17318066351324182
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0390,253818,14.0,0.285,454.2558662441609,0.75,106.5,0.7501361143642608,-0.20343570452802623
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0364,20711,14.0,0.285,411.1460601001,0.74,105.32,0.001638459700379704,0.359460142764999
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0355,39505,14.0,0.285,407.3835362017549,0.73,104.14,-0.3820819011327872,0.19302285223452734
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0297,274785,14.0,0.285,380.9799882599461,0.72,102.96,-0.06764151401634964,0.1869428353604283
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0293,71058,14.0,0.285,368.1707441027483,0.71,101.78,-0.45850749023416687,0.3439642205426663
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0233,34967,14.0,0.285,319.38917249802364,0.7,100.6,0.1678003775695028,0.0981913498426072
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0186,42292,14.0,0.285,311.8248289514239,0.69,99.41999999999999,0.4845858459155426,-0.2756049068315605
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0167,137208,14.0,0.285,309.3038774943162,0.68,98.24000000000001,-0.43296519654846516,0.6507199209450789
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0143,186886,14.0,0.285,300.05521250907486,0.67,97.06,0.6043968583897406,-0.2829666253281883
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0066,184624,14.0,0.285,293.49892667873956,0.66,95.88000000000001,-0.22931981607460117,0.2405547898608393
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0065,301335,14.0,0.285,287.7727319745055,0.65,94.7,0.3478459987518017,-0.12787152102125768
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0645,384107,15.0,0.42,286.19572153394694,0.64,93.52,0.5395234116422011,-0.4625966406169585
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0608,296407,15.0,0.42,270.9056401507755,0.63,92.34,-0.7130187041272336,0.3808637241551005
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0596,279865,15.0,0.42,270.02802032793227,0.62,91.16,0.7636667081336048,-0.2812232768554615
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0253,310730,23.0,0.6,255.5366588209987,0.61,89.98,0.4719939215658523,-0.501544734368316
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0295,189612,23.0,0.6,254.60523185104248,0.6,88.8,0.774959404573716,-0.4780653241707589
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0416,124023,23.0,0.6,227.75787865894563,0.59,87.61999999999999,-0.13631345647714782,-0.11884223714574826
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0590,272159,23.0,0.6,222.82815480270477,0.58,86.44,0.5695056197557777,-0.16227313336367175
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0052,5214,21.0,0.555,193.07311518097828,0.57,85.25999999999999,-0.12194744578378265,0.2556459936004104
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0111,55031,21.0,0.555,191.38628638258115,0.56,84.08000000000001,0.7357146547565554,-0.3342207191605287
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0269,126397,21.0,0.555,188.59080265022095,0.55,82.9,0.8109763423828151,-0.5787279695094165
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0397,219034,21.0,0.555,170.93491685872138,0.54,81.72,0.5880964706198738,-0.34227698127232203
condition_01__alliance_commitment_support__headline_and_lede_misframing,1,0,0,Alliance_Commitment_Support,Headline_And_Lede_Misframing,-0.9,-0.8727499022891688,profile_0360,299382,20.0,0.53,131.1360495996527,0.53,80.54,0.8196357710063208,-0.3905842288948749
