profile_id,position_id,assignment_rank,community_id,eigenvector_centrality,eigenvector_centrality_percentile,outgoing_visibility_weight,outgoing_visibility_percentile,incoming_exposure_weight,incoming_exposure_percentile,display_role
profile_0618,31639,3,2,0.1900034127073293,1.0,1411.096550742696,1.0,10.671845404164708,0.58,bridge
profile_0063,61017,1,0,0.1828381800306977,0.98,1380.514047713456,0.99,16.739071907810093,0.74,high_visibility_sender
profile_0521,377169,6,0,0.165924237582852,0.97,1250.473657686172,0.98,4.452256020330933,0.18,high_visibility_sender
profile_0390,363863,4,0,0.1833428505564591,0.99,1242.482382717748,0.97,12.01088767901947,0.65,context_position
profile_0753,108461,25,0,0.1386925905854058,0.93,1044.1585959231788,0.96,5.004693219334225,0.24,high_visibility_sender
profile_0111,31772,16,0,0.1424466583258449,0.94,1031.385356771597,0.95,11.448194549858089,0.63,high_visibility_sender
profile_0745,369106,14,0,0.1510945877989905,0.96,1020.2121868691466,0.94,8.673067164394284,0.44,context_position
profile_0424,345831,11,0,0.1450591857711488,0.95,984.7526658749454,0.93,8.658933856444945,0.43,high_visibility_sender
profile_0391,258451,20,0,0.1358686518504914,0.92,941.3982741273376,0.92,13.885554683642964,0.72,high_visibility_sender
profile_0663,115748,39,0,0.1240507745310136,0.9,864.0790424099247,0.91,4.989870585996299,0.23,high_visibility_sender
profile_0509,267868,34,0,0.1290317890330756,0.91,856.4234967177572,0.9,4.065479891003849,0.12,high_visibility_sender
profile_0590,336741,30,0,0.1030196487212184,0.86,823.4245157695827,0.89,4.619179316687533,0.19,high_visibility_sender
profile_0585,241036,49,0,0.1131331747865077,0.88,800.3580075086691,0.88,3.1009197558894668,0.09,high_visibility_sender
profile_0754,345402,44,0,0.109479457475546,0.87,782.3050444692047,0.87,1.8972870852876904,0.03,high_visibility_sender
profile_0716,83111,38,0,0.1141228075183527,0.89,771.7564739211396,0.86,5.718470040908896,0.28,context_position
profile_0005,235919,48,0,0.0993365066241376,0.85,689.8402743889386,0.85,3.951128164847083,0.11,context_position
profile_0167,194290,13,1,0.0773345185182532,0.79,689.1911475935063,0.84,6.10984223204406,0.31,bridge
profile_0486,247716,51,1,0.08014037072212,0.8,657.2179268222861,0.83,19.83913451772268,0.75,high_visibility_sender
profile_0503,313305,66,0,0.085653150837323,0.83,561.3581423560343,0.82,13.571288359925203,0.71,high_visibility_sender
profile_0657,255702,19,0,0.0736274748811862,0.78,526.6783333846322,0.81,2.442149205899194,0.06,context_position
profile_0458,107328,35,1,0.073017262100011,0.77,504.03586862669806,0.8,29.332877203314595,0.8,high_exposure_receiver
profile_0353,9057,80,1,0.0694372662000315,0.76,500.34946868055874,0.79,25.50940261886695,0.76,high_visibility_sender
profile_0393,233047,61,0,0.0856960275664678,0.84,489.5502042854534,0.78,10.218467498583715,0.53,high_visibility_sender
profile_0052,383153,69,0,0.0802038223874869,0.81,474.76795613267535,0.77,10.363003727215386,0.56,context_position
profile_0560,348993,75,0,0.0621587761211224,0.75,468.4942397308576,0.76,10.43338691847618,0.57,high_visibility_sender
profile_0287,253818,89,1,0.0548840968660392,0.72,454.2558662441609,0.75,27.728123076414377,0.78,high_visibility_sender
profile_0717,20711,94,0,0.0532747262282605,0.71,411.1460601001,0.74,6.185846594396112,0.32,high_visibility_sender
profile_0297,39505,99,0,0.0811889293076669,0.82,407.3835362017549,0.73,16.228891701574863,0.73,high_visibility_sender
profile_0466,274785,56,0,0.0582876072698035,0.74,380.9799882599461,0.72,4.371135534330149,0.17,high_visibility_sender
profile_0269,71058,70,0,0.0576226798041019,0.73,368.1707441027483,0.71,5.984067852976819,0.3,high_visibility_sender
profile_0688,34967,97,2,0.0359443720404991,0.63,319.38917249802364,0.7,3.096508761624432,0.08,bridge
profile_0219,42292,31,1,0.0493710886804342,0.7,311.8248289514239,0.69,27.85014710784958,0.79,high_exposure_receiver
profile_0148,137208,84,0,0.0434134732763973,0.66,309.3038774943162,0.68,2.5272399553183176,0.07,high_visibility_sender
profile_0364,186886,2,1,0.0474235365481492,0.69,300.05521250907486,0.67,30.0,0.94,high_exposure_receiver
profile_0778,184624,24,0,0.0413169203230665,0.65,293.49892667873956,0.66,7.234662738961889,0.35,context_position
profile_0253,301335,98,1,0.0434480179862947,0.67,287.7727319745055,0.65,27.577089946331565,0.77,context_position
profile_0248,384107,12,1,0.04718662500313,0.68,286.19572153394694,0.64,29.90429213204293,0.83,high_exposure_receiver
profile_0795,296407,74,0,0.0318537150895989,0.59,270.9056401507755,0.63,3.911322747564391,0.1,context_position
profile_0633,279865,62,1,0.0358873823854439,0.62,270.02802032793227,0.62,30.0,0.94,high_exposure_receiver
profile_0066,310730,7,1,0.0401599870109106,0.64,255.5366588209987,0.61,30.0,0.94,high_exposure_receiver
profile_0186,189612,45,1,0.0334491690524065,0.61,254.60523185104248,0.6,30.0,0.94,high_exposure_receiver
profile_0711,124023,43,0,0.0323358146107405,0.6,227.75787865894563,0.59,8.439175246765256,0.4,context_position
profile_0076,272159,21,1,0.0277004729253392,0.56,222.82815480270477,0.58,30.0,0.94,high_exposure_receiver
profile_0519,5214,93,0,0.0280227172248567,0.57,193.07311518097828,0.57,7.634690462960154,0.37,context_position
profile_0065,55031,50,1,0.0304118800573983,0.58,191.38628638258115,0.56,30.0,0.94,high_exposure_receiver
profile_0001,126397,67,1,0.0238631148802164,0.54,188.59080265022095,0.55,30.0,0.94,high_exposure_receiver
profile_0610,219034,40,1,0.0275929296290869,0.55,170.93491685872138,0.54,30.0,0.94,high_exposure_receiver
profile_0395,299382,52,1,0.0231657312885613,0.53,131.1360495996527,0.53,30.0,0.94,high_exposure_receiver
profile_0272,92368,71,1,0.016743606957212,0.49,130.25714637480633,0.52,30.0,0.94,high_exposure_receiver
profile_0172,187676,81,2,0.0219156457758352,0.51,119.93119154228448,0.51,30.0,0.94,high_exposure_receiver
