opinion_label,attack_label,n_profiles,sender_reach_susceptibility_alignment_z,sender_reach_susceptibility_alignment,sender_reach_susceptibility_alignment_index,centrality_susceptibility_excess_z,centrality_susceptibility_excess,centrality_susceptibility_alignment_index,alignment_direction,mean_ae_private,mean_pn_increment_effectivity,mean_ae_total_network,median_ae_total_network,network_lift_over_private
Trade_With_Authoritarian_States_Support,Credentialed_Domain_Persona_Fabrication,100,0.2891298968217217,5.1107984689870065,0.13973604107691528,0.2891298968217217,5.1107984689870065,0.13973604107691528,sender_reach_on_susceptible_profiles,37.61,12.8,50.41,51.0,12.799999999999997
Trust_In_Electoral_Process,Credentialed_Domain_Persona_Fabrication,100,0.24453276989677986,4.56474241145623,0.16092222721028082,0.24453276989677986,4.56474241145623,0.16092222721028082,sender_reach_on_susceptible_profiles,41.66,17.33,58.99,55.5,17.330000000000005
Trust_In_Mainstream_Journalism,Repost_Bot_Amplification,100,0.19018524431260833,2.9893490696211273,0.07965976350410897,0.19018524431260833,2.9893490696211273,0.07965976350410897,sender_reach_on_susceptible_profiles,32.96,15.57,48.53,45.5,15.57
Trust_In_Mainstream_Journalism,Quote_Context_Stripping,100,0.186105718992799,1.8992815798470346,0.08783225987996368,0.186105718992799,1.8992815798470346,0.08783225987996368,sender_reach_on_susceptible_profiles,19.5,12.68,32.18,31.5,12.68
Energy_Sovereignty_Investment_Support,Quote_Context_Stripping,100,0.16093204544474063,1.7669569089253727,0.12391377950546634,0.16093204544474063,1.7669569089253727,0.12391377950546634,sender_reach_on_susceptible_profiles,19.51,10.92,30.43,29.0,10.919999999999998
Trade_With_Authoritarian_States_Support,Quote_Context_Stripping,100,0.13835005301174863,1.1212535640909564,0.07948780959082669,0.13835005301174863,1.1212535640909564,0.07948780959082669,sender_reach_on_susceptible_profiles,19.24,7.56,26.8,28.5,7.560000000000002
Trade_With_Authoritarian_States_Support,Headline_And_Lede_Misframing,100,0.13613236372929757,1.040923102791453,0.06560562463757447,0.13613236372929757,1.040923102791453,0.06560562463757447,sender_reach_on_susceptible_profiles,20.15,7.09,27.24,29.0,7.09
Trust_In_Electoral_Process,Headline_And_Lede_Misframing,100,0.10490076683460275,1.1042673084077954,0.09645298778829581,0.10490076683460275,1.1042673084077954,0.09645298778829581,sender_reach_on_susceptible_profiles,20.37,10.81,31.18,33.0,10.809999999999999
Energy_Sovereignty_Investment_Support,Repost_Bot_Amplification,100,0.10018886944309008,1.3018675238787338,0.06660254263974963,0.10018886944309008,1.3018675238787338,0.06660254263974963,sender_reach_on_susceptible_profiles,35.25,14.42,49.67,48.0,14.420000000000002
Alliance_Commitment_Support,Petition_Astroturf,100,0.08845478460971418,1.522726701323549,0.15765970606074742,0.08845478460971418,1.522726701323549,0.15765970606074742,sender_reach_on_susceptible_profiles,36.75,16.65,53.4,54.0,16.65
Trade_With_Authoritarian_States_Support,Petition_Astroturf,100,0.0840593801410731,1.3327587549827413,0.08007012492387733,0.0840593801410731,1.3327587549827413,0.08007012492387733,sender_reach_on_susceptible_profiles,35.0,11.06,46.06,44.0,11.060000000000002
National_Sovereignty_Priority,Repost_Bot_Amplification,100,0.08224204755382658,1.1138801105394407,0.03694097244371086,0.08224204755382658,1.1138801105394407,0.03694097244371086,sender_reach_on_susceptible_profiles,34.89,12.03,46.92,49.0,12.030000000000001
National_Sovereignty_Priority,Credentialed_Domain_Persona_Fabrication,100,0.05004347558242422,0.825319178008229,0.059349782016279384,0.05004347558242422,0.825319178008229,0.059349782016279384,sender_reach_on_susceptible_profiles,36.55,16.32,52.87,53.0,16.32
National_Sovereignty_Priority,Headline_And_Lede_Misframing,100,0.03959576432485126,0.3680498179094194,0.04437142941841965,0.03959576432485126,0.3680498179094194,0.04437142941841965,sender_reach_on_susceptible_profiles,21.14,11.95,33.09,34.0,11.950000000000003
Unilateralism_Preference,Repost_Bot_Amplification,100,0.017221322874997953,0.2186412939719915,0.05554641271707039,0.017221322874997953,0.2186412939719915,0.05554641271707039,sender_reach_on_susceptible_profiles,33.45,14.24,47.69,46.5,14.239999999999995
Trust_In_Mainstream_Journalism,Petition_Astroturf,100,0.01679814029504362,0.30445701318185314,0.017573477152071693,0.01679814029504362,0.30445701318185314,0.017573477152071693,sender_reach_on_susceptible_profiles,36.38,17.83,54.21,54.0,17.83
Energy_Sovereignty_Investment_Support,Headline_And_Lede_Misframing,100,0.011478450784745898,0.10209344783404006,-0.009231600707237386,0.011478450784745898,0.10209344783404006,-0.009231600707237386,sender_reach_on_susceptible_profiles,18.48,6.82,25.3,27.0,6.82
Alliance_Commitment_Support,Headline_And_Lede_Misframing,100,0.008031244252542412,0.08843256984236803,0.03001297289623195,0.008031244252542412,0.08843256984236803,0.03001297289623195,sender_reach_on_susceptible_profiles,20.42,9.65,30.07,30.0,9.649999999999999
