profile_id,n_profile_rows,mean_ae_private,mean_pn_increment_effectivity,age,openness,conscientiousness,extraversion,agreeableness,neuroticism,female,other_gender,heuristic_shift_sensitivity,resilience_index
profile_0001,35,29.485714285714284,16.942857142857143,42.0,91.551,51.093,3.752,74.394,77.648,0.0,1.0,0.5621,0.4379
profile_0005,35,29.0,14.971428571428572,71.0,70.091,54.749,89.131,53.715,3.665,0.0,1.0,0.2796,0.7204
profile_0019,35,26.885714285714286,14.085714285714285,49.0,51.368,67.127,5.699,20.366,54.249,1.0,0.0,0.4734,0.5266
profile_0052,35,31.085714285714285,16.228571428571428,45.0,66.066,16.302,93.565,73.941,48.879,0.0,0.0,0.5491,0.4509
profile_0063,35,32.25714285714286,12.8,35.0,66.778,30.212,37.443,3.55,34.892,0.0,0.0,0.4618,0.5382
profile_0065,35,25.428571428571427,11.714285714285714,66.0,3.44,65.54,47.752,38.465,38.436,1.0,0.0,0.4616,0.5384
profile_0066,35,32.4,18.571428571428573,24.0,35.93,21.644,87.66,50.964,67.26,1.0,0.0,0.641,0.359
profile_0076,35,35.42857142857143,18.114285714285714,32.0,86.008,16.647,43.664,23.517,82.225,0.0,1.0,0.6618,0.3382
profile_0096,35,25.514285714285716,12.342857142857143,26.0,46.164,58.908,26.132,62.839,18.395,0.0,1.0,0.3533,0.6467
profile_0111,35,25.514285714285716,11.742857142857142,42.0,84.958,52.927,6.863,16.727,30.052,0.0,1.0,0.3743,0.6257
profile_0131,35,30.057142857142857,16.485714285714284,28.0,37.322,46.915,10.126,93.91,24.316,0.0,1.0,0.4122,0.5878
profile_0143,35,30.057142857142857,13.942857142857143,78.0,42.188,29.25,65.845,46.944,34.737,0.0,0.0,0.4879,0.5121
profile_0144,35,27.02857142857143,11.914285714285715,38.0,80.691,76.887,3.661,53.207,35.403,0.0,1.0,0.3473,0.6527
profile_0148,35,28.885714285714286,16.114285714285714,28.0,80.757,37.782,69.093,39.395,53.816,0.0,1.0,0.5069,0.4931
profile_0165,35,31.4,14.4,48.0,47.494,9.123,17.421,44.662,96.966,0.0,0.0,0.7758,0.2242
profile_0167,35,27.057142857142857,17.428571428571427,18.0,34.245,34.591,64.365,80.931,31.391,0.0,1.0,0.4707,0.5293
profile_0172,35,29.485714285714284,16.885714285714286,22.0,73.495,34.419,71.437,98.129,48.345,0.0,1.0,0.4997,0.5003
profile_0176,35,31.2,15.657142857142857,25.0,91.523,10.125,22.951,29.151,25.234,0.0,1.0,0.4426,0.5574
profile_0186,35,28.914285714285715,15.257142857142858,46.0,75.356,59.352,23.019,90.498,23.402,0.0,0.0,0.3432,0.6568
profile_0204,35,32.05714285714286,14.742857142857142,54.0,19.212,4.17,27.4,12.915,80.023,1.0,0.0,0.7472,0.2528
profile_0217,35,28.17142857142857,13.714285714285714,36.0,87.679,27.254,80.958,72.276,16.358,1.0,0.0,0.3733,0.6267
profile_0219,35,30.942857142857143,13.6,62.0,80.845,39.278,38.425,26.649,61.867,1.0,0.0,0.5357,0.4643
profile_0233,35,29.02857142857143,13.371428571428572,53.0,14.892,67.698,30.316,72.774,33.893,0.0,0.0,0.4272,0.5728
profile_0248,35,32.97142857142857,15.114285714285714,59.0,31.381,38.932,9.804,15.781,79.376,0.0,1.0,0.656,0.344
profile_0253,35,30.114285714285714,15.457142857142857,59.0,81.061,72.791,41.068,54.801,64.612,1.0,0.0,0.4727,0.5273
profile_0269,35,28.8,16.34285714285714,41.0,22.392,78.932,41.062,17.225,61.143,0.0,1.0,0.504,0.496
profile_0272,35,28.02857142857143,20.02857142857143,59.0,53.715,12.321,91.988,18.321,56.831,1.0,0.0,0.602,0.398
profile_0280,35,30.62857142857143,13.914285714285715,34.0,23.185,73.836,68.274,5.874,86.165,0.0,1.0,0.6145,0.3855
profile_0287,35,31.114285714285714,14.771428571428572,38.0,17.084,30.915,62.9,32.892,88.185,1.0,0.0,0.7231,0.2769
profile_0293,35,26.6,15.742857142857142,50.0,92.038,27.538,21.827,53.226,3.717,0.0,1.0,0.3177,0.6823
profile_0295,35,26.485714285714284,13.4,46.0,93.125,95.909,41.786,21.403,14.174,1.0,0.0,0.2081,0.7919
profile_0297,35,29.257142857142856,14.342857142857143,48.0,47.107,52.032,91.942,61.193,63.949,0.0,1.0,0.5497,0.4503
profile_0307,35,29.34285714285714,15.742857142857142,36.0,27.984,14.345,39.532,87.759,95.853,1.0,0.0,0.7794,0.2206
profile_0308,35,29.914285714285715,15.17142857142857,45.0,38.825,74.155,93.807,41.435,13.777,1.0,0.0,0.3086,0.6914
profile_0325,35,33.142857142857146,13.17142857142857,41.0,47.859,81.783,3.706,44.84,92.07,1.0,0.0,0.596,0.404
profile_0345,35,28.228571428571428,15.657142857142857,48.0,79.996,66.22,84.502,97.856,40.8,1.0,0.0,0.393,0.607
profile_0353,35,27.457142857142856,15.885714285714286,48.0,15.215,47.328,43.21,7.059,23.725,0.0,0.0,0.4311,0.5689
profile_0355,35,29.65714285714286,13.8,73.0,65.855,22.221,14.229,37.392,56.946,0.0,1.0,0.5685,0.4315
profile_0360,35,30.714285714285715,16.4,42.0,20.496,59.957,77.152,86.927,89.679,0.0,0.0,0.6618,0.3382
profile_0364,35,29.285714285714285,12.914285714285715,18.0,68.804,93.155,33.63,28.435,82.73,0.0,0.0,0.5127,0.4873
profile_0368,35,26.314285714285713,13.4,66.0,78.835,65.44,71.177,85.604,11.411,0.0,1.0,0.2783,0.7217
profile_0372,35,33.51428571428571,15.857142857142858,55.0,85.978,12.229,11.74,77.943,42.229,0.0,0.0,0.5115,0.4885
profile_0390,35,32.371428571428574,14.114285714285714,24.0,88.924,52.864,41.434,57.55,97.248,0.0,1.0,0.6393,0.3607
profile_0391,35,33.94285714285714,15.285714285714286,18.0,59.572,67.213,43.525,80.413,71.41,1.0,0.0,0.5337,0.4663
profile_0393,35,29.542857142857144,13.971428571428572,38.0,58.926,88.88,82.977,74.942,20.279,0.0,0.0,0.2822,0.7178
profile_0395,35,26.65714285714286,13.714285714285714,45.0,29.814,56.767,73.322,9.667,41.063,1.0,0.0,0.4651,0.5349
profile_0397,35,31.65714285714286,15.371428571428572,36.0,80.859,89.593,70.014,30.735,87.118,0.0,1.0,0.526,0.474
profile_0416,35,31.142857142857142,15.914285714285715,45.0,58.442,15.518,32.948,65.524,7.699,0.0,1.0,0.3937,0.6063
profile_0424,35,30.97142857142857,16.228571428571428,18.0,72.396,36.457,75.415,16.526,79.008,1.0,0.0,0.6189,0.3811
profile_0427,35,33.457142857142856,15.257142857142858,51.0,86.801,37.136,82.711,34.275,24.562,0.0,0.0,0.3852,0.6148
profile_0433,35,30.285714285714285,15.742857142857142,72.0,26.786,7.984,59.254,75.939,58.169,0.0,0.0,0.6438,0.3562
profile_0445,35,34.457142857142856,15.657142857142857,24.0,96.28,38.391,59.454,54.05,9.617,0.0,1.0,0.3132,0.6868
profile_0458,35,28.34285714285714,13.942857142857143,18.0,58.883,56.44,90.462,17.771,13.203,0.0,0.0,0.3253,0.6747
profile_0466,35,25.314285714285713,13.657142857142857,31.0,12.78,58.27,77.617,75.995,20.727,1.0,0.0,0.3974,0.6026
profile_0472,35,31.457142857142856,16.485714285714284,28.0,11.106,49.78,84.184,52.898,35.495,0.0,1.0,0.4769,0.5231
profile_0475,35,30.428571428571427,13.885714285714286,30.0,87.313,56.562,41.543,46.634,6.265,1.0,0.0,0.2688,0.7312
profile_0486,35,27.771428571428572,14.6,40.0,11.089,66.604,81.66,59.929,60.794,0.0,0.0,0.5411,0.4589
profile_0503,35,30.057142857142857,13.6,37.0,71.545,88.204,85.128,7.024,33.508,0.0,1.0,0.3239,0.6761
profile_0509,35,30.514285714285716,12.285714285714286,52.0,37.248,28.168,30.857,48.828,46.494,0.0,1.0,0.5423,0.4577
profile_0519,35,24.942857142857143,12.885714285714286,33.0,47.187,18.288,17.377,18.067,5.896,1.0,0.0,0.3917,0.6083
profile_0521,35,29.257142857142856,13.657142857142857,18.0,39.775,43.914,91.839,32.628,35.692,0.0,1.0,0.4619,0.5381
profile_0533,35,32.22857142857143,14.514285714285714,45.0,41.755,50.53,67.11,45.076,12.904,0.0,1.0,0.3542,0.6458
profile_0535,35,29.257142857142856,13.857142857142858,25.0,56.492,11.051,47.541,45.819,63.774,1.0,0.0,0.6298,0.3702
profile_0542,35,26.314285714285713,18.8,28.0,13.765,20.654,35.454,37.896,83.934,0.0,1.0,0.732,0.268
profile_0560,35,29.4,13.885714285714286,49.0,24.183,11.122,8.722,25.143,44.151,0.0,1.0,0.5835,0.4165
profile_0579,35,25.085714285714285,14.885714285714286,49.0,9.12,43.518,34.224,42.886,26.773,0.0,1.0,0.4577,0.5423
profile_0585,35,26.885714285714286,14.942857142857143,51.0,47.552,93.44,22.064,66.601,58.212,0.0,0.0,0.4352,0.5648
profile_0590,35,23.228571428571428,11.17142857142857,33.0,45.46,47.746,37.103,22.068,13.347,1.0,0.0,0.3584,0.6416
profile_0596,35,26.457142857142856,13.82857142857143,28.0,17.579,47.053,14.569,41.526,60.428,1.0,0.0,0.5761,0.4239
profile_0608,35,27.37142857142857,12.914285714285715,20.0,54.179,22.18,80.679,4.631,19.954,0.0,1.0,0.4323,0.5677
profile_0610,35,28.571428571428573,16.914285714285715,45.0,68.368,68.478,57.805,65.376,56.531,0.0,1.0,0.4626,0.5374
profile_0613,35,31.057142857142857,14.428571428571429,29.0,28.363,79.932,49.364,91.522,61.537,0.0,0.0,0.4974,0.5026
profile_0618,35,25.8,11.971428571428572,48.0,9.783,81.975,78.186,27.843,33.634,1.0,0.0,0.3999,0.6001
profile_0633,35,31.085714285714285,13.085714285714285,38.0,10.296,97.963,56.716,54.387,71.633,1.0,0.0,0.5162,0.4838
profile_0641,35,32.857142857142854,14.514285714285714,47.0,51.61,39.538,55.897,5.327,92.163,0.0,1.0,0.6856,0.3144
profile_0645,35,29.057142857142857,12.457142857142857,24.0,4.813,81.874,22.734,80.135,84.724,0.0,0.0,0.6095,0.3905
profile_0649,35,27.65714285714286,13.742857142857142,56.0,10.749,53.19,49.254,78.992,62.092,0.0,1.0,0.5761,0.4239
profile_0657,35,28.314285714285713,15.742857142857142,45.0,68.766,13.605,58.571,63.995,39.273,0.0,1.0,0.5139,0.4861
profile_0663,35,30.314285714285713,15.2,18.0,69.492,68.333,44.831,13.503,39.74,0.0,0.0,0.3946,0.6054
profile_0669,35,26.257142857142856,12.6,54.0,12.135,13.043,90.39,31.784,19.324,1.0,0.0,0.492,0.508
profile_0673,35,29.142857142857142,16.542857142857144,36.0,29.989,85.049,86.535,37.2,72.68,1.0,0.0,0.5291,0.4709
profile_0688,35,27.085714285714285,15.857142857142858,24.0,48.897,38.872,22.97,67.585,54.721,1.0,0.0,0.54,0.46
profile_0694,35,30.285714285714285,16.114285714285714,39.0,59.715,58.874,79.705,53.603,35.082,0.0,0.0,0.4066,0.5934
profile_0711,35,29.37142857142857,17.82857142857143,56.0,28.93,70.199,33.5,25.186,85.677,0.0,0.0,0.6148,0.3852
profile_0716,35,26.82857142857143,17.428571428571427,47.0,31.74,30.366,74.098,66.539,2.517,1.0,0.0,0.367,0.633
profile_0717,35,29.37142857142857,16.02857142857143,42.0,23.247,7.105,35.543,48.282,56.77,0.0,0.0,0.6437,0.3563
profile_0718,35,27.085714285714285,13.685714285714285,60.0,54.843,84.473,61.224,31.314,34.234,0.0,0.0,0.3518,0.6482
profile_0726,35,29.285714285714285,14.657142857142857,54.0,78.732,85.995,43.315,62.785,20.901,0.0,0.0,0.2712,0.7288
profile_0745,35,24.542857142857144,13.428571428571429,76.0,7.424,13.562,19.054,75.493,42.688,0.0,0.0,0.589,0.411
profile_0747,35,29.114285714285714,21.97142857142857,36.0,80.29,31.4,46.312,80.11,70.083,0.0,0.0,0.5865,0.4135
profile_0749,35,29.485714285714284,13.885714285714286,40.0,29.231,9.359,47.346,22.767,43.502,1.0,0.0,0.5797,0.4203
profile_0753,35,38.371428571428574,14.342857142857143,25.0,75.159,35.509,4.197,30.777,73.711,0.0,0.0,0.5971,0.4029
profile_0754,35,30.857142857142858,17.457142857142856,48.0,70.891,61.404,88.151,30.631,59.375,0.0,0.0,0.487,0.513
profile_0760,35,27.97142857142857,15.485714285714286,40.0,38.312,15.707,7.69,79.762,6.553,1.0,0.0,0.4088,0.5912
profile_0775,35,31.428571428571427,14.685714285714285,59.0,82.203,30.725,79.871,53.162,86.646,0.0,0.0,0.6523,0.3477
profile_0778,35,31.742857142857144,15.771428571428572,51.0,40.548,55.981,50.732,45.352,66.292,1.0,0.0,0.557,0.443
profile_0785,35,33.628571428571426,14.428571428571429,18.0,92.29,21.595,45.893,88.173,7.093,0.0,0.0,0.3441,0.6559
profile_0790,35,27.228571428571428,15.114285714285714,48.0,40.497,93.02,44.784,71.073,20.456,0.0,0.0,0.2922,0.7078
profile_0794,35,33.97142857142857,17.17142857142857,18.0,43.688,56.364,28.202,69.543,95.808,0.0,1.0,0.671,0.329
profile_0795,35,26.685714285714287,11.228571428571428,34.0,24.775,69.891,10.865,22.323,10.849,0.0,0.0,0.3204,0.6796
