metric,predictor,predictor_label,observed,ci_low,ci_high,n_bootstrap,outcome,role,is_focal_predictor,beta,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,n_profiles,r_squared,adj_r_squared
profile_outcome_correlation,,,0.4899314688589847,0.33655539669707424,0.6362348699360281,5000.0,,,,,,,,,,,
focal_coefficient_vector_similarity,,,0.8280757307879577,0.502877351361947,0.9469627235830942,5000.0,,,,,,,,,,,
beta_direct,age,Age,-0.19040352087007764,-0.3477104713039594,-0.023228580102588547,5000.0,,,,,,,,,,,
beta_network,age,Age,-0.20551065221417464,-0.39045665324178036,0.013213582779974318,5000.0,,,,,,,,,,,
beta_network_minus_direct,age,Age,-0.015107131344096997,-0.2184932550015634,0.20213797998939012,5000.0,,,,,,,,,,,
beta_direct,openness,Openness,0.34244707431252447,0.1601163866033393,0.51060006373926,5000.0,,,,,,,,,,,
beta_network,openness,Openness,0.1674234317372551,-0.033802468178030995,0.3736939653373574,5000.0,,,,,,,,,,,
beta_network_minus_direct,openness,Openness,-0.17502364257526937,-0.3786140793513507,0.040468433321845444,5000.0,,,,,,,,,,,
beta_direct,conscientiousness,Conscientiousness,-0.16933946619051296,-0.3252325729170593,-0.002299274525810865,5000.0,,,,,,,,,,,
beta_network,conscientiousness,Conscientiousness,-0.2259063169807277,-0.39754677519294407,-0.04040373924194459,5000.0,,,,,,,,,,,
beta_network_minus_direct,conscientiousness,Conscientiousness,-0.05656685079021473,-0.2630779142516514,0.14841239810760676,5000.0,,,,,,,,,,,
beta_direct,extraversion,Extraversion,0.1667027611188325,-0.007645365786068938,0.3472371266778941,5000.0,,,,,,,,,,,
beta_network,extraversion,Extraversion,0.05733545244508534,-0.11875038554743947,0.2516078332933607,5000.0,,,,,,,,,,,
beta_network_minus_direct,extraversion,Extraversion,-0.10936730867374717,-0.33357586602797823,0.12040762651483847,5000.0,,,,,,,,,,,
beta_direct,agreeableness,Agreeableness,0.023134137662282277,-0.1435862626565902,0.19893866527754894,5000.0,,,,,,,,,,,
beta_network,agreeableness,Agreeableness,0.28944510012100827,0.1325123627013293,0.44802652506859736,5000.0,,,,,,,,,,,
beta_network_minus_direct,agreeableness,Agreeableness,0.266310962458726,0.07414367734696198,0.45416585544202326,5000.0,,,,,,,,,,,
beta_direct,neuroticism,Neuroticism,0.44129165770623213,0.2734810481961486,0.6032433964933421,5000.0,,,,,,,,,,,
beta_network,neuroticism,Neuroticism,0.40111335887567806,0.22629318943689172,0.5633926036136626,5000.0,,,,,,,,,,,
beta_network_minus_direct,neuroticism,Neuroticism,-0.04017829883055407,-0.20410047583274343,0.1289741405398029,5000.0,,,,,,,,,,,
fixed_position_model_coefficient,age,Age,,,,,mean_ae_private,direct_private_susceptibility,True,-0.19040352087007764,0.09077470914719273,-0.368318681505674,-0.0124883602344813,0.0359458610555386,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,openness,Openness,,,,,mean_ae_private,direct_private_susceptibility,True,0.34244707431252447,0.0985454152720993,0.14930160953766644,0.5355925390873825,0.0005108194130847035,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,conscientiousness,Conscientiousness,,,,,mean_ae_private,direct_private_susceptibility,True,-0.16933946619051296,0.08595253627889568,-0.33780334167702086,-0.0008755907040050304,0.048821079535990464,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,extraversion,Extraversion,,,,,mean_ae_private,direct_private_susceptibility,True,0.1667027611188325,0.09538357861592303,-0.020245617684921502,0.3536511399225865,0.08051438904993898,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,agreeableness,Agreeableness,,,,,mean_ae_private,direct_private_susceptibility,True,0.023134137662282277,0.08936672872103908,-0.15202143204711557,0.19828970737168014,0.7957375092710792,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,neuroticism,Neuroticism,,,,,mean_ae_private,direct_private_susceptibility,True,0.44129165770623213,0.09784100489177674,0.24952681190714246,0.6330565035053218,6.4737964487048004e-06,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,female,Female,,,,,mean_ae_private,direct_private_susceptibility,False,-0.19995886270565216,0.1033020920970169,-0.40242724274344505,0.0025095173321407205,0.05290800987074152,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,other_gender,Other gender,,,,,mean_ae_private,direct_private_susceptibility,False,-0.0981839381975704,0.11537132389739743,-0.3243075778851746,0.12793970149003384,0.3947551897268712,87.0,0.41100737005896826,0.35059786955219574
fixed_position_model_coefficient,age,Age,,,,,mean_pn_increment_effectivity,post_network_amplification,True,-0.20551065221417464,0.11817329250245083,-0.4371260494534954,0.026104745025146175,0.08202390277931738,87.0,0.35401780204024935,0.28776321763412105
fixed_position_model_coefficient,openness,Openness,,,,,mean_pn_increment_effectivity,post_network_amplification,True,0.1674234317372551,0.10616420135359482,-0.040654579363249205,0.37550144283775944,0.11479013666602492,87.0,0.35401780204024935,0.28776321763412105
fixed_position_model_coefficient,conscientiousness,Conscientiousness,,,,,mean_pn_increment_effectivity,post_network_amplification,True,-0.2259063169807277,0.10015666950885024,-0.42220978202955517,-0.029602851931900237,0.024100116340774542,87.0,0.35401780204024935,0.28776321763412105
fixed_position_model_coefficient,extraversion,Extraversion,,,,,mean_pn_increment_effectivity,post_network_amplification,True,0.05733545244508534,0.0994707192160519,-0.13762357473467265,0.2522944796248433,0.5643412445676235,87.0,0.35401780204024935,0.28776321763412105
