metric,predictor,predictor_label,observed,ci_low,ci_high,n_bootstrap
profile_outcome_correlation,,,0.27999682339775694,0.08294893161976732,0.47153632630795445,5000
focal_coefficient_vector_similarity,,,0.7298560172229114,0.36273645868270876,0.8924490165363803,5000
beta_direct,age,Age,-0.13686863303449714,-0.2858607992456463,0.03179418753112312,5000
beta_network,age,Age,-0.057042386858718985,-0.22692814490146213,0.11459076657721468,5000
beta_network_minus_direct,age,Age,0.07982624617577816,-0.146547548281586,0.2903222639222628,5000
beta_direct,openness,Openness,0.35258987920130536,0.18977329636520748,0.5033673382406791,5000
beta_network,openness,Openness,0.15447415011672636,-0.03807529656113012,0.32922301425306155,5000
beta_network_minus_direct,openness,Openness,-0.198115729084579,-0.442527867204573,0.02955856582060168,5000
beta_direct,conscientiousness,Conscientiousness,-0.17467860194706072,-0.3160547163805992,-0.024493479808528753,5000
beta_network,conscientiousness,Conscientiousness,-0.28114237142989884,-0.4275506551497481,-0.12292431433145823,5000
beta_network_minus_direct,conscientiousness,Conscientiousness,-0.10646376948283812,-0.3134881787312244,0.10651266129548974,5000
beta_direct,extraversion,Extraversion,0.09222351587329916,-0.07236960721541943,0.2650089551693379,5000
beta_network,extraversion,Extraversion,0.268292115249373,0.10676452857120822,0.4248154728603101,5000
beta_network_minus_direct,extraversion,Extraversion,0.17606859937607386,-0.052366250705678755,0.39549954681574667,5000
beta_direct,agreeableness,Agreeableness,-0.014060889764543165,-0.1632156694648337,0.14026508355922065,5000
beta_network,agreeableness,Agreeableness,0.24281303987698255,0.07421246433661735,0.41443053914266753,5000
beta_network_minus_direct,agreeableness,Agreeableness,0.2568739296415257,0.03520474447289567,0.4784155826531589,5000
beta_direct,neuroticism,Neuroticism,0.46863070139444646,0.3049071964471838,0.6205959497681365,5000
beta_network,neuroticism,Neuroticism,0.3363775118856522,0.17441657469085828,0.48958262332589786,5000
beta_network_minus_direct,neuroticism,Neuroticism,-0.13225318950879428,-0.3368477764269414,0.0793631450664644,5000
