outcome,role,predictor,predictor_label,is_focal_predictor,beta,hc3_se,hc3_ci_low,hc3_ci_high,hc3_p,n_profiles,r_squared,adj_r_squared
mean_ae_private,direct_private_susceptibility,age,Age,True,-0.13686863303449714,0.0880970081542531,-0.30953559616256465,0.03579833009357039,0.12027682177993962,100,0.3869722551935053,0.33307970619952776
mean_ae_private,direct_private_susceptibility,openness,Openness,True,0.35258987920130536,0.08868506797160923,0.1787703400104646,0.5264094183921462,7.015706573195291e-05,100,0.3869722551935053,0.33307970619952776
mean_ae_private,direct_private_susceptibility,conscientiousness,Conscientiousness,True,-0.17467860194706072,0.0799558132487879,-0.33138911626929546,-0.017968087624825962,0.028911642352707385,100,0.3869722551935053,0.33307970619952776
mean_ae_private,direct_private_susceptibility,extraversion,Extraversion,True,0.09222351587329916,0.08978553262192249,-0.08375289439841505,0.26819992614501337,0.30434823302166136,100,0.3869722551935053,0.33307970619952776
mean_ae_private,direct_private_susceptibility,agreeableness,Agreeableness,True,-0.014060889764543165,0.07992620100866288,-0.17071336516263136,0.14259158563354501,0.8603541142924629,100,0.3869722551935053,0.33307970619952776
mean_ae_private,direct_private_susceptibility,neuroticism,Neuroticism,True,0.46863070139444646,0.08947154485118472,0.2932696958449643,0.6439917069439286,1.625350421763692e-07,100,0.3869722551935053,0.33307970619952776
mean_ae_private,direct_private_susceptibility,female,Female,False,-0.2086945299505572,0.0976687645423836,-0.4001217908681517,-0.01726726903296269,0.03261766653779487,100,0.3869722551935053,0.33307970619952776
mean_ae_private,direct_private_susceptibility,other_gender,Other gender,False,-0.12681975199575288,0.10759212027126644,-0.337696432747737,0.08405692875623122,0.23851425018939942,100,0.3869722551935053,0.33307970619952776
mean_pn_increment_effectivity,post_network_amplification,age,Age,True,-0.057042386858718985,0.0895089747746215,-0.2324767537100813,0.11839197999264334,0.5239416944429994,100,0.30024700189995424,0.23873025481423604
mean_pn_increment_effectivity,post_network_amplification,openness,Openness,True,0.15447415011672636,0.1001483432630481,-0.04181299579020248,0.3507612960236552,0.12296345959815078,100,0.30024700189995424,0.23873025481423604
mean_pn_increment_effectivity,post_network_amplification,conscientiousness,Conscientiousness,True,-0.28114237142989884,0.09163422670709079,-0.4607421555269752,-0.10154258733282254,0.0021542923260076366,100,0.30024700189995424,0.23873025481423604
mean_pn_increment_effectivity,post_network_amplification,extraversion,Extraversion,True,0.268292115249373,0.09175224936469628,0.08846101099403025,0.4481232195047158,0.0034546145501774808,100,0.30024700189995424,0.23873025481423604
mean_pn_increment_effectivity,post_network_amplification,agreeableness,Agreeableness,True,0.24281303987698255,0.09244032974971704,0.06163332284853065,0.4239927569054345,0.008621723864779593,100,0.30024700189995424,0.23873025481423604
mean_pn_increment_effectivity,post_network_amplification,neuroticism,Neuroticism,True,0.3363775118856522,0.10017069067021049,0.1400465658655372,0.5327084579057672,0.0007849632942008096,100,0.30024700189995424,0.23873025481423604
mean_pn_increment_effectivity,post_network_amplification,female,Female,False,-0.07823459008478464,0.10764081601089096,-0.2892067127326333,0.13273753256306403,0.467341396650663,100,0.30024700189995424,0.23873025481423604
mean_pn_increment_effectivity,post_network_amplification,other_gender,Other gender,False,0.0073030755586029885,0.1129353900908346,-0.21404622159941453,0.2286523727166205,0.9484399650669754,100,0.30024700189995424,0.23873025481423604
