predictor,predictor_label,predictor_type,outcome,pearson_r,p_value,n_profiles
age,Age,model_predictor,mean_ae_private,-0.18167936918658478,0.07044495778572796,100
age,Age,model_predictor,mean_pn_increment_effectivity,-0.08355850878616428,0.4085055029306082,100
openness,Openness,model_predictor,mean_ae_private,0.3154882161854554,0.001387268393672025,100
openness,Openness,model_predictor,mean_pn_increment_effectivity,0.13597926212390704,0.17734611378739626,100
conscientiousness,Conscientiousness,model_predictor,mean_ae_private,-0.13826795183476837,0.17009607705466456,100
conscientiousness,Conscientiousness,model_predictor,mean_pn_increment_effectivity,-0.24516913128401893,0.013951388651740223,100
extraversion,Extraversion,model_predictor,mean_ae_private,0.009696148770281035,0.9237233547081267,100
extraversion,Extraversion,model_predictor,mean_pn_increment_effectivity,0.19235210706409925,0.055202055412458303,100
agreeableness,Agreeableness,model_predictor,mean_ae_private,-0.003272904736891645,0.9742187387317075,100
agreeableness,Agreeableness,model_predictor,mean_pn_increment_effectivity,0.2315975159648192,0.020423558116607368,100
neuroticism,Neuroticism,model_predictor,mean_ae_private,0.41322225806299073,1.92986351510458e-05,100
neuroticism,Neuroticism,model_predictor,mean_pn_increment_effectivity,0.2649218999820381,0.007729031716678042,100
female,Female,model_predictor,mean_ae_private,-0.18488446425797578,0.06554686322580984,100
female,Female,model_predictor,mean_pn_increment_effectivity,-0.1033565391848981,0.30615913434664915,100
other_gender,Other gender,model_predictor,mean_ae_private,0.05091952984398365,0.6148798886986063,100
other_gender,Other gender,model_predictor,mean_pn_increment_effectivity,0.06937304697406863,0.4928168536779428,100
heuristic_shift_sensitivity,Heuristic-shift sensitivity,derived_index,mean_ae_private,0.3486068308542305,0.0003788100013120526,100
heuristic_shift_sensitivity,Heuristic-shift sensitivity,derived_index,mean_pn_increment_effectivity,0.30651987232591205,0.0019242407786355994,100
resilience_index,Resilience index,derived_index,mean_ae_private,-0.3486068308542305,0.0003788100013120526,100
resilience_index,Resilience index,derived_index,mean_pn_increment_effectivity,-0.30651987232591194,0.0019242407786356501,100
