term,observed_importance,p_value,q_value
profile_cont_big_five_neuroticism_depression_pct,0.42859310739158757,0.004975124378109453,0.014925373134328358
profile_cont_big_five_neuroticism_anxiety_pct,0.42774759029473386,0.004975124378109453,0.014925373134328358
profile_cont_big_five_neuroticism_mean_pct,0.4132222580629906,0.004975124378109453,0.014925373134328358
profile_cont_big_five_neuroticism_stress_vulnerability_pct,0.41122984440998656,0.004975124378109453,0.014925373134328358
profile_cont_big_five_neuroticism_anger_hostility_pct,0.37857997200215626,0.004975124378109453,0.014925373134328358
profile_cont_big_five_neuroticism_impulsiveness_pct,0.37684604367493024,0.004975124378109453,0.014925373134328358
profile_cont_big_five_neuroticism_self_consciousness_pct,0.3602901025766216,0.004975124378109453,0.014925373134328358
profile_cont_big_five_openness_to_experience_aesthetics_pct,0.3392593494868413,0.004975124378109453,0.014925373134328358
profile_cont_big_five_openness_to_experience_mean_pct,0.3154882161854553,0.004975124378109453,0.014925373134328358
profile_cont_big_five_openness_to_experience_ideas_pct,0.3095062991105913,0.004975124378109453,0.014925373134328358
profile_cont_big_five_openness_to_experience_feelings_pct,0.30858455685685904,0.004975124378109453,0.014925373134328358
profile_cont_big_five_openness_to_experience_fantasy_pct,0.2940877614613404,0.009950248756218905,0.02771855010660981
profile_cont_big_five_openness_to_experience_actions_pct,0.2855747619572432,0.004975124378109453,0.014925373134328358
profile_cont_big_five_openness_to_experience_values_pct,0.2822772827386535,0.004975124378109453,0.014925373134328358
profile_cat__profile_cat_sex_Female,0.18488446425797594,0.029850746268656716,0.07761194029850746
profile_cont_chronological_age,0.18167936918658467,0.05472636815920398,0.1333955223880597
profile_cont_big_five_conscientiousness_competence_pct,0.17152554217645818,0.0845771144278607,0.19402985074626866
profile_cont_big_five_conscientiousness_deliberation_pct,0.14782181581041465,0.13930348258706468,0.3018242122719735
profile_cont_big_five_conscientiousness_mean_pct,0.13826795183476823,0.2537313432835821,0.44711226476314087
profile_cat__profile_cat_sex_Male,0.13248870031178614,0.1691542288557214,0.3472113118617439
profile_cont_big_five_conscientiousness_dutifulness_pct,0.13027058631615332,0.21393034825870647,0.4171641791044777
profile_cont_big_five_conscientiousness_order_pct,0.12373039249122068,0.263681592039801,0.44711226476314087
profile_cont_big_five_conscientiousness_achievement_striving_pct,0.11392617543619113,0.23880597014925373,0.44349680170575695
profile_cont_big_five_conscientiousness_self_discipline_pct,0.09924173072596476,0.2885572139303483,0.468905472636816
profile_cont_big_five_agreeableness_straightforwardness_pct,0.08832137603173094,0.3880597014925373,0.6053731343283583
profile_cont_big_five_extraversion_assertiveness_pct,0.0539291645188511,0.6268656716417911,0.9054726368159204
profile_cat__profile_cat_sex_Other,0.05091952984398366,0.6218905472636815,0.9054726368159204
profile_cont_big_five_agreeableness_compliance_pct,0.040510959267774524,0.681592039800995,0.9493603411513859
profile_cont_big_five_extraversion_activity_level_pct,0.01960152116390307,0.8258706467661692,0.9850746268656716
profile_cont_big_five_agreeableness_tender_mindedness_pct,0.019413551896422115,0.845771144278607,0.9850746268656716
profile_cont_big_five_agreeableness_altruism_pct,0.013362240005377654,0.8557213930348259,0.9850746268656716
profile_cont_big_five_agreeableness_trust_pct,0.01040247636313882,0.9253731343283582,0.9850746268656716
profile_cont_big_five_extraversion_mean_pct,0.009696148770281047,0.9303482587064676,0.9850746268656716
profile_cont_big_five_agreeableness_modesty_pct,0.008297196560687175,0.9104477611940298,0.9850746268656716
profile_cont_big_five_extraversion_gregariousness_pct,0.00770108557763477,0.9651741293532339,0.9850746268656716
profile_cont_big_five_extraversion_positive_emotions_pct,0.007625717971501897,0.945273631840796,0.9850746268656716
profile_cont_big_five_extraversion_excitement_seeking_pct,0.0034102198315447826,0.9651741293532339,0.9850746268656716
profile_cont_big_five_agreeableness_mean_pct,0.0032729047368916173,0.9850746268656716,0.9850746268656716
profile_cont_big_five_extraversion_warmth_pct,0.0018312437705282477,0.9850746268656716,0.9850746268656716
