term,component_key,coefficient_sd
profile_cont_big_five_conscientiousness_competence_pct,global,0.06220509159231641
profile_cont_big_five_conscientiousness_achievement_striving_pct,global,0.054745615335440506
profile_cont_big_five_neuroticism_depression_pct,global,0.052272779990057014
profile_cont_big_five_agreeableness_altruism_pct,global,0.05134059591315379
profile_cont_big_five_extraversion_assertiveness_pct,global,0.05037559148407387
profile_cont_big_five_agreeableness_straightforwardness_pct,global,0.0501520627347063
profile_cont_big_five_openness_to_experience_actions_pct,global,0.04907578631273923
profile_cont_big_five_conscientiousness_self_discipline_pct,global,0.04898478486517626
profile_cont_big_five_conscientiousness_order_pct,global,0.04814631212342415
profile_cont_big_five_extraversion_warmth_pct,global,0.04808273436377618
profile_cont_big_five_neuroticism_self_consciousness_pct,global,0.04732412698158867
profile_cont_big_five_neuroticism_stress_vulnerability_pct,global,0.04652444765959349
profile_cont_big_five_openness_to_experience_values_pct,global,0.046447909046100744
profile_cont_big_five_extraversion_excitement_seeking_pct,global,0.046162193795286535
profile_cont_big_five_neuroticism_anger_hostility_pct,global,0.04586743578692331
profile_cont_big_five_extraversion_positive_emotions_pct,global,0.045836599796326156
profile_cont_big_five_neuroticism_anxiety_pct,global,0.04582532633331364
profile_cont_chronological_age,global,0.04517654409899197
profile_cont_big_five_openness_to_experience_feelings_pct,global,0.04511766741005259
profile_cont_big_five_extraversion_activity_level_pct,global,0.04336114841036042
profile_cont_big_five_conscientiousness_dutifulness_pct,global,0.0431875871469806
profile_cont_big_five_neuroticism_impulsiveness_pct,global,0.042914761585295516
profile_cont_big_five_agreeableness_compliance_pct,global,0.0420388427803891
profile_cont_big_five_conscientiousness_deliberation_pct,global,0.04191464145840931
profile_cat__profile_cat_sex_Female,global,0.04166569441086751
profile_cont_big_five_openness_to_experience_ideas_pct,global,0.041583564049970524
profile_cat__profile_cat_sex_Male,global,0.04113039097159066
profile_cont_big_five_agreeableness_trust_pct,global,0.04098886865927774
profile_cat__profile_cat_sex_Other,global,0.04081484613770098
profile_cont_big_five_agreeableness_modesty_pct,global,0.04040741546523169
profile_cont_big_five_extraversion_gregariousness_pct,global,0.03908942366614428
profile_cont_big_five_openness_to_experience_fantasy_pct,global,0.03865122712246685
profile_cont_big_five_agreeableness_tender_mindedness_pct,global,0.037141471186058705
profile_cont_big_five_openness_to_experience_aesthetics_pct,global,0.03688578044179847
profile_cont_big_five_extraversion_mean_pct,global,0.016770741628724876
profile_cont_big_five_neuroticism_mean_pct,global,0.016231557193511225
profile_cont_big_five_openness_to_experience_mean_pct,global,0.01562789766944704
profile_cont_big_five_agreeableness_mean_pct,global,0.014679444983212496
profile_cont_big_five_conscientiousness_mean_pct,global,0.014075092872899993
