feature,context,estimate,std_error,t_value,p_value,n_obs,n_clusters,q_value,label,ontology_group
profile_cat__profile_cat_sex_Female,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.23461006447495836,0.6302925329934774,0.3722240899169691,0.7105216139253459,500,100,0.9282744267951798,Sex Female,Demographics: Sex
profile_cat__profile_cat_sex_Male,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.02452429767538572,0.7026864450151339,0.03490076953862051,0.9722291399060329,500,100,0.9849312623803872,Sex Male,Demographics: Sex
profile_cat__profile_cat_sex_Other,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-0.25183333333333413,0.6328575835734065,-0.3979304979034409,0.6915382111248202,500,100,0.9282744267951798,Sex Other,Demographics: Sex
profile_cont_big_five_agreeableness_altruism_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.007249269508325,0.6222740201469589,1.618658720912772,0.10870232178979256,500,100,0.2722544389781043,Big Five Agreeableness Altruism %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_compliance_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.0738524613333913,0.5973116666370197,1.7978092866984976,0.07525550577086715,500,100,0.21413344776680518,Big Five Agreeableness Compliance %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_mean_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.143147108975308,0.5978045708621327,1.9122421685847961,0.058735940594277364,500,100,0.17645353154194127,Big Five Agreeableness Mean %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_modesty_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.1987772981029161,0.5992437629438179,2.0004835631727844,0.04818660600407588,500,100,0.16125033110494144,Big Five Agreeableness Modesty %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_straightforwardness_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,0.7106969856813884,0.5985628981627186,1.187338854217099,0.23793507619580218,500,100,0.47931619372714146,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_tender_mindedness_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.285806751292372,0.6141688049182487,2.093572224762416,0.038853453057010844,500,100,0.1377531517475839,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_trust_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.2743707222577467,0.5877070520791845,2.1683774556546327,0.032525757391954735,500,100,0.12880633605682582,Big Five Agreeableness Trust %,Big Five: Agreeableness
profile_cont_big_five_conscientiousness_achievement_striving_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.8452517661527865,0.6456834369504115,-2.857827319944869,0.005200180388335665,500,100,0.04301967412168596,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_competence_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.824080801505154,0.6832283474563245,-2.6697967206663047,0.008871897204544739,500,100,0.06360331421579157,Big Five Conscientiousness Competence %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_deliberation_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.8341923152619668,0.6929389202839237,-2.6469754571015116,0.009449962132353025,500,100,0.0644959915533094,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_dutifulness_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.9151592267840736,0.6302904707244142,-3.038534319871465,0.0030404085197487715,500,100,0.028621776754876364,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_mean_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.8668593785009957,0.6648962843801408,-2.8077452414122037,0.006009967380768317,500,100,0.04660442149944534,Big Five Conscientiousness Mean %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_order_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.6216480461111713,0.6426747637097723,-2.5232794839342674,0.013218316164252262,500,100,0.07517917318418474,Big Five Conscientiousness Order %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_self_discipline_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.6123849760066287,0.6603347858434314,-2.4417689489842096,0.01638972632577279,500,100,0.08644428200034415,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness
profile_cont_big_five_extraversion_activity_level_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.1888070598213158,0.6294511257287251,-1.888640771664386,0.06186725605088739,500,100,0.18161033227841136,Big Five Extraversion Activity Level %,Big Five: Extraversion
profile_cont_big_five_extraversion_assertiveness_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-0.9124301563944072,0.6647845807589813,-1.372520035516904,0.1730030995398398,500,100,0.3882218961416055,Big Five Extraversion Assertiveness %,Big Five: Extraversion
profile_cont_big_five_extraversion_excitement_seeking_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-0.8480050643041486,0.6384068980709663,-1.3283143820446048,0.1871283058305614,500,100,0.40544466263288303,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion
profile_cont_big_five_extraversion_gregariousness_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.099551635662998,0.6453211979381964,-1.7038827163528325,0.09153998520812782,500,100,0.2426253976875621,Big Five Extraversion Gregariousness %,Big Five: Extraversion
profile_cont_big_five_extraversion_mean_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.10246776221614,0.6463668666819444,-1.705637802685557,0.0912112322129553,500,100,0.2426253976875621,Big Five Extraversion Mean %,Big Five: Extraversion
profile_cont_big_five_extraversion_positive_emotions_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.2336451949271494,0.6318228220303566,-1.9525176234736858,0.053701032446715175,500,100,0.16659524838583228,Big Five Extraversion Positive Emotions %,Big Five: Extraversion
profile_cont_big_five_extraversion_warmth_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,-1.0629320692733382,0.6445478888568998,-1.649112637942914,0.10229432952767768,500,100,0.2609939435612711,Big Five Extraversion Warmth %,Big Five: Extraversion
profile_cont_big_five_neuroticism_anger_hostility_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,2.0177022941297373,0.6116301246443244,3.2988929302706813,0.0013495465469982413,500,100,0.015351091972104993,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_anxiety_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,2.607190023212565,0.5803283486563064,4.492611862317701,1.9091412264430558e-05,500,100,0.0017965639116448453,Big Five Neuroticism Anxiety %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_depression_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.8010491846965473,0.5865076427427256,3.070802583704073,0.002756043199473984,500,100,0.027866659016903616,Big Five Neuroticism Depression %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_impulsiveness_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,2.098772530495522,0.5767194443363584,3.6391568744671305,0.00043686424884503694,500,100,0.006625774440816394,Big Five Neuroticism Impulsiveness %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_mean_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,2.243071909640295,0.5895993266313154,3.8044003924769045,0.00024615946515846765,500,100,0.004480102265884111,Big Five Neuroticism Mean %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_self_consciousness_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,2.052118395004299,0.5778709839080652,3.551170507171156,0.0005889092200712518,500,100,0.008461695635760618,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,2.3393603089836,0.5848214806777374,4.000127194836558,0.00012219502288016393,500,100,0.0030326582951167957,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism
profile_cont_big_five_openness_to_experience_actions_pct,Issue_Position_Taxonomy > Critical_Infrastructure_And_Energy_Sovereignty > Energy_Sovereignty_Investment_Support,1.2196166867246019,0.6143960241815236,1.9850660465281031,0.04990392642733778,500,100,0.16135880991232737,Big Five Openness To Experience Actions %,Big Five: Openness
