feature,estimate,std_error,t_value,p_value,n_obs,n_clusters,q_value,label,ontology_group
profile_cont_big_five_neuroticism_stress_vulnerability_pct,1.0785403315888094,0.22210378023613794,4.856019696927801,4.481881510399574e-06,3500,100,0.00014026288366871935,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_anxiety_pct,1.1218617377703026,0.23672361205983336,4.739120563464303,7.192968393267659e-06,3500,100,0.00014026288366871935,Big Five Neuroticism Anxiety %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_depression_pct,1.124079291535908,0.25437413148792104,4.419000017654251,2.540309442795669e-05,3500,100,0.00033024022756343694,Big Five Neuroticism Depression %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_mean_pct,1.0837658727580302,0.24961841227626164,4.341690434111838,3.4187162359964465e-05,3500,100,0.0003333248330096535,Big Five Neuroticism Mean %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_impulsiveness_pct,0.9883612836666569,0.2471819406124601,3.9985173723360394,0.0001229120132273427,3500,100,0.000958713703173273,Big Five Neuroticism Impulsiveness %,Big Five: Neuroticism
profile_cont_big_five_openness_to_experience_aesthetics_pct,0.8897819461890615,0.24015700864644685,3.7050009541840034,0.00034828472807075974,3500,100,0.002263850732459938,Big Five Openness To Experience Aesthetics %,Big Five: Openness
profile_cont_big_five_neuroticism_anger_hostility_pct,0.9929088904573986,0.27442838007132175,3.6180984277185524,0.0004694377620347379,3500,100,0.002360083195895742,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism
profile_cont_big_five_neuroticism_self_consciousness_pct,0.9449397021723545,0.2618246319579451,3.609055783277614,0.0004841196299273317,3500,100,0.002360083195895742,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism
profile_cont_big_five_openness_to_experience_mean_pct,0.8274369429223247,0.25787843596640814,3.2086317718714126,0.0017976189879342819,3500,100,0.007789682281048555,Big Five Openness To Experience Mean %,Big Five: Openness
profile_cont_big_five_openness_to_experience_feelings_pct,0.8093305843429242,0.2610423825194868,3.1003800092979446,0.0025172536316428987,3500,100,0.009817289163407305,Big Five Openness To Experience Feelings %,Big Five: Openness
profile_cont_big_five_openness_to_experience_ideas_pct,0.8117480552767501,0.2667763903587946,3.0428032037805472,0.003001288969417206,3500,100,0.010640933618842822,Big Five Openness To Experience Ideas %,Big Five: Openness
profile_cont_big_five_openness_to_experience_actions_pct,0.7489823577777294,0.256264402195848,2.922693715396825,0.00430009677636419,3500,100,0.013453526188904913,Big Five Openness To Experience Actions %,Big Five: Openness
profile_cont_big_five_openness_to_experience_fantasy_pct,0.7713095634335778,0.2652552248899534,2.907801585260277,0.004493041086357204,3500,100,0.013453526188904913,Big Five Openness To Experience Fantasy %,Big Five: Openness
profile_cont_big_five_openness_to_experience_values_pct,0.7403339963366365,0.25677618863036544,2.883187885471586,0.004829470939606892,3500,100,0.013453526188904913,Big Five Openness To Experience Values %,Big Five: Openness
profile_cat__profile_cat_sex_Female,-0.48489999959151403,0.2607916757226201,-1.8593384863528282,0.0659489606421992,3500,100,0.1714672976697179,Sex Female,Demographics: Sex
profile_cont_big_five_conscientiousness_competence_pct,-0.44986330065702335,0.24972024900851345,-1.80146905364365,0.07467301252910565,3500,100,0.1727909599215031,Big Five Conscientiousness Competence %,Big Five: Conscientiousness
profile_cont_chronological_age,-0.47649393580975796,0.26510016684517457,-1.797410923879361,0.0753191363760398,3500,100,0.1727909599215031,Chronological Age,Demographics: Age
profile_cont_big_five_conscientiousness_deliberation_pct,-0.38769508684121134,0.2344426164363168,-1.65368861998912,0.10135838580562681,3500,100,0.21960983591219144,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_mean_pct,-0.3626379861460078,0.2278038726448261,-1.591886836407757,0.11459828063061749,3500,100,0.23522804971547798,Big Five Conscientiousness Mean %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_dutifulness_pct,-0.3416631435475736,0.2265655828421962,-1.5080099071602737,0.13473666037606646,3500,100,0.2627364877333296,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_order_pct,-0.3245100528551324,0.22784584690985088,-1.4242526570323115,0.15751783792626162,3500,100,0.2912622253971083,Big Five Conscientiousness Order %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_achievement_striving_pct,-0.29879634637871977,0.2132536303982388,-1.4011313468414812,0.16430176817272776,3500,100,0.2912622253971083,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness
profile_cat__profile_cat_sex_Male,0.34748063329658496,0.25867299112905373,1.3433201192745496,0.18223957299756144,3500,100,0.3090149281262998,Sex Male,Demographics: Sex
profile_cont_big_five_conscientiousness_self_discipline_pct,-0.2602831740439333,0.2326254895421096,-1.1188936111698848,0.2658930292391479,3500,100,0.43207617251361535,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness
profile_cont_big_five_agreeableness_straightforwardness_pct,-0.23164215216021847,0.25202407918732955,-0.9191270647914511,0.3602631412237781,3500,100,0.5620105003090938,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness
profile_cat__profile_cat_sex_Other,0.1335476190476191,0.26176407860893375,0.5101831380276379,0.6110587730806268,3500,100,0.8906991137748386,Sex Other,Demographics: Sex
profile_cont_big_five_extraversion_assertiveness_pct,0.14144104513114644,0.2816395200067166,0.5022059586231837,0.6166378479979652,3500,100,0.8906991137748386,Big Five Extraversion Assertiveness %,Big Five: Extraversion
profile_cont_big_five_agreeableness_compliance_pct,0.10624886310071126,0.25316565496286625,0.4196811890471304,0.6756277231538355,3500,100,0.941052900107128,Big Five Agreeableness Compliance %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_tender_mindedness_pct,0.050916291665851196,0.2566107506518889,0.198418388693788,0.8431246210749577,3500,100,0.9858762053204823,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness
profile_cont_big_five_extraversion_activity_level_pct,0.05140928223751287,0.2783877615771637,0.18466789612539491,0.8538672966263938,3500,100,0.9858762053204823,Big Five Extraversion Activity Level %,Big Five: Extraversion
profile_cont_big_five_agreeableness_altruism_pct,-0.035045400916476156,0.26603598624729885,-0.13173180595161676,0.8954637752364292,3500,100,0.9858762053204823,Big Five Agreeableness Altruism %,Big Five: Agreeableness
profile_cont_big_five_agreeableness_trust_pct,0.0272827725384122,0.24025505942813097,0.11355753590934667,0.9098185175822228,3500,100,0.9858762053204823,Big Five Agreeableness Trust %,Big Five: Agreeableness
profile_cont_big_five_extraversion_mean_pct,0.025430273731325614,0.2769599117438134,0.09181933071544483,0.9270271244411379,3500,100,0.9858762053204823,Big Five Extraversion Mean %,Big Five: Extraversion
profile_cont_big_five_agreeableness_modesty_pct,0.021761215173139354,0.24702259614189623,0.08809402667211523,0.929979896838554,3500,100,0.9858762053204823,Big Five Agreeableness Modesty %,Big Five: Agreeableness
profile_cont_big_five_extraversion_gregariousness_pct,-0.02019778356411454,0.2559873123157157,-0.07890150250573394,0.9372702314447761,3500,100,0.9858762053204823,Big Five Extraversion Gregariousness %,Big Five: Extraversion
profile_cont_big_five_extraversion_positive_emotions_pct,-0.020000115510548054,0.27934677842570005,-0.07159601275254239,0.9430678520184258,3500,100,0.9858762053204823,Big Five Extraversion Positive Emotions %,Big Five: Extraversion
profile_cont_big_five_agreeableness_mean_pct,-0.008583909480719736,0.25097554249539267,-0.034202175221425477,0.972784796622547,3500,100,0.9858762053204823,Big Five Agreeableness Mean %,Big Five: Agreeableness
profile_cont_big_five_extraversion_excitement_seeking_pct,-0.008944048390208887,0.2807883872516081,-0.03185334150658563,0.9746531382302778,3500,100,0.9858762053204823,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion
profile_cont_big_five_extraversion_warmth_pct,0.004802837854140405,0.2706243550035797,0.017747249149385965,0.9858762053204824,3500,100,0.9858762053204823,Big Five Extraversion Warmth %,Big Five: Extraversion
