term,moderator_label,ontology_group,weighted_mean_estimate,weighted_mean_abs_estimate,direction,n_tasks,normalized_weight_pct,estimate,mean_abs_estimate
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness,-0.017922043832787133,0.21269058211288358,lower_effectivity,35,4.432313272318014,-0.017922043832787133,0.21269058211288358
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Big Five: Neuroticism,0.03264251423849442,0.19870369658593087,higher_effectivity,35,4.140836998457415,0.03264251423849442,0.19870369658593087
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism,0.059919057100712554,0.19467611176602065,higher_effectivity,35,4.056905131445079,0.059919057100712554,0.19467611176602065
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,Big Five: Conscientiousness,-0.1730403930092301,0.18935899518995772,lower_effectivity,35,3.946100383362544,-0.1730403930092301,0.18935899518995772
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism,0.14991725960531815,0.1866539956287584,higher_effectivity,35,3.8897302077881744,0.14991725960531815,0.1866539956287584
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,Big Five: Extraversion,0.1429593261962995,0.17629641320474781,higher_effectivity,35,3.6738859066864706,0.1429593261962995,0.17629641320474781
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Big Five: Neuroticism,0.14657041834635778,0.1626238351510898,higher_effectivity,35,3.3889595664037167,0.14657041834635778,0.1626238351510898
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion,0.09132033974397023,0.16130037448233928,higher_effectivity,35,3.361379632072725,0.09132033974397023,0.16130037448233928
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Big Five: Openness,0.15191985858922188,0.15940122974798335,higher_effectivity,35,3.321802870711138,0.15191985858922188,0.15940122974798335
profile_cont_big_five_agreeableness_trust_pct,Big Five Agreeableness Trust %,Big Five: Agreeableness,-0.021081038336125072,0.1570991239830841,lower_effectivity,35,3.2738287016873904,-0.021081038336125072,0.1570991239830841
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,Big Five: Agreeableness,0.11273099359375709,0.15384522857335042,higher_effectivity,35,3.2060199455684066,0.11273099359375709,0.15384522857335042
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,Big Five: Extraversion,-0.0785227442078648,0.1515926671881139,lower_effectivity,35,3.159078244505235,-0.0785227442078648,0.1515926671881139
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,-0.038447720083754175,0.14985258537761895,lower_effectivity,35,3.1228162359717184,-0.038447720083754175,0.14985258537761895
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness,-0.11720328424667062,0.14083975739475516,lower_effectivity,35,2.9349956155534414,-0.11720328424667062,0.14083975739475516
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,0.07274171439924071,0.13509990310612857,higher_effectivity,35,2.8153813284894817,0.07274171439924071,0.13509990310612857
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Big Five: Openness,0.11818630169028323,0.13100424416349207,higher_effectivity,35,2.7300308474761708,0.11818630169028323,0.13100424416349207
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness,0.049792388242656443,0.12773722145564959,higher_effectivity,35,2.66194852824471,0.049792388242656443,0.12773722145564959
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,0.10630080900780328,0.12385599006731252,higher_effectivity,35,2.5810665577100043,0.10630080900780328,0.12385599006731252
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism,0.007429084315839668,0.11790296473753764,higher_effectivity,35,2.457009944965381,0.007429084315839668,0.11790296473753764
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,Big Five: Extraversion,0.0023371567969237717,0.11629967959585957,higher_effectivity,35,2.4235986770936404,0.0023371567969237717,0.11629967959585957
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,Big Five: Agreeableness,0.0399884783306936,0.10772330472184546,higher_effectivity,35,2.244873414297132,0.0399884783306936,0.10772330472184546
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,Big Five: Neuroticism,0.07755413846154184,0.10622736527979833,higher_effectivity,35,2.2136991508309176,0.07755413846154184,0.10622736527979833
profile_cat__profile_cat_sex_Female,Sex Female,Demographics: Sex,-0.01823318336965325,0.10506336071385251,lower_effectivity,35,2.1894421628842573,-0.01823318336965325,0.10506336071385251
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Big Five: Neuroticism,0.08279039012509705,0.10423474405583383,higher_effectivity,35,2.1721744090678197,0.08279039012509705,0.10423474405583383
profile_cont_chronological_age,Chronological Age,Demographics: Age,-0.02497802280709236,0.10232474479316869,lower_effectivity,35,2.1323714474231186,-0.02497802280709236,0.10232474479316869
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,Big Five: Agreeableness,-0.034279449925462085,0.09567346950768664,lower_effectivity,35,1.9937638258123207,-0.034279449925462085,0.09567346950768664
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,Big Five: Extraversion,-0.020560835998941283,0.09414489486316872,lower_effectivity,35,1.961909469040521,-0.020560835998941283,0.09414489486316872
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,0.0418076734853825,0.09381751301802212,higher_effectivity,35,1.9550870752939604,0.0418076734853825,0.09381751301802212
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,Big Five: Extraversion,0.04344853598997623,0.09111468887471584,higher_effectivity,35,1.8987622338077499,0.04344853598997623,0.09111468887471584
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,Big Five: Conscientiousness,0.01933762754171254,0.09019747660489119,higher_effectivity,35,1.879648213446853,0.01933762754171254,0.09019747660489119
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,0.07857287689010804,0.0872884715809114,higher_effectivity,35,1.8190267160164575,0.07857287689010804,0.0872884715809114
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness,0.020524977467702717,0.0851968982260502,higher_effectivity,35,1.7754398855668718,0.020524977467702717,0.0851968982260502
profile_cat__profile_cat_sex_Male,Sex Male,Demographics: Sex,0.027080166914490944,0.08074086194138387,higher_effectivity,35,1.6825794092342865,0.027080166914490944,0.08074086194138387
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,Big Five: Extraversion,0.03178704442431588,0.07644578159914564,higher_effectivity,35,1.5930731348263723,0.03178704442431588,0.07644578159914564
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness,-0.04277140677370466,0.07478274232551178,lower_effectivity,35,1.5584166353627467,-0.04277140677370466,0.07478274232551178
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness,-0.0527409002068173,0.07267469037757932,lower_effectivity,35,1.5144864033104504,-0.0527409002068173,0.07267469037757932
profile_cont_big_five_agreeableness_mean_pct,Big Five Agreeableness Mean %,Big Five: Agreeableness,0.0013655551103541664,0.07138952756419398,higher_effectivity,35,1.4877045677525687,0.0013655551103541664,0.07138952756419398
profile_cont_big_five_conscientiousness_mean_pct,Big Five Conscientiousness Mean %,Big Five: Conscientiousness,-0.03945670049843341,0.06590770367269498,lower_effectivity,35,1.373467441926727,-0.03945670049843341,0.06590770367269498
profile_cat__profile_cat_sex_Other,Sex Other,Demographics: Sex,-0.008846983544827639,0.0468532012571487,lower_effectivity,35,0.9763858075879885,-0.008846983544827639,0.0468532012571487
