source,target,rho,abs_rho,source_label,target_label
profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Male,-0.4705882352941176,0.4705882352941176,Sex Female,Sex Male
profile_cat__profile_cat_sex_Female,profile_cat__profile_cat_sex_Other,-0.5144957554275265,0.5144957554275265,Sex Female,Sex Other
profile_cat__profile_cat_sex_Female,profile_cont_big_five_agreeableness_modesty_pct,-0.16375629442486275,0.16375629442486275,Sex Female,Big Five Agreeableness Modesty %
profile_cat__profile_cat_sex_Female,profile_cont_big_five_openness_to_experience_actions_pct,-0.17824670075113092,0.17824670075113092,Sex Female,Big Five Openness To Experience Actions %
profile_cat__profile_cat_sex_Female,profile_cont_big_five_openness_to_experience_aesthetics_pct,-0.15447259430212265,0.15447259430212265,Sex Female,Big Five Openness To Experience Aesthetics %
profile_cat__profile_cat_sex_Female,profile_cont_big_five_openness_to_experience_fantasy_pct,-0.15892853452237618,0.15892853452237618,Sex Female,Big Five Openness To Experience Fantasy %
profile_cat__profile_cat_sex_Female,profile_cont_big_five_openness_to_experience_feelings_pct,-0.1856641758438974,0.1856641758438974,Sex Female,Big Five Openness To Experience Feelings %
profile_cat__profile_cat_sex_Female,profile_cont_big_five_openness_to_experience_mean_pct,-0.15521338822503136,0.15521338822503136,Sex Female,Big Five Openness To Experience Mean %
profile_cat__profile_cat_sex_Female,profile_cont_big_five_openness_to_experience_values_pct,-0.15633251948509178,0.15633251948509178,Sex Female,Big Five Openness To Experience Values %
profile_cat__profile_cat_sex_Male,profile_cat__profile_cat_sex_Other,-0.5144957554275265,0.5144957554275265,Sex Male,Sex Other
profile_cat__profile_cat_sex_Male,profile_cont_big_five_agreeableness_mean_pct,0.15075750148172903,0.15075750148172903,Sex Male,Big Five Agreeableness Mean %
profile_cat__profile_cat_sex_Male,profile_cont_big_five_agreeableness_modesty_pct,0.15818635243762252,0.15818635243762252,Sex Male,Big Five Agreeableness Modesty %
profile_cat__profile_cat_sex_Male,profile_cont_big_five_agreeableness_trust_pct,0.16115988944543902,0.16115988944543902,Sex Male,Big Five Agreeableness Trust %
profile_cat__profile_cat_sex_Other,profile_cont_big_five_openness_to_experience_actions_pct,0.19235154537662885,0.19235154537662885,Sex Other,Big Five Openness To Experience Actions %
profile_cat__profile_cat_sex_Other,profile_cont_big_five_openness_to_experience_feelings_pct,0.16311156427657428,0.16311156427657428,Sex Other,Big Five Openness To Experience Feelings %
profile_cat__profile_cat_sex_Other,profile_cont_big_five_openness_to_experience_ideas_pct,0.16347586402416617,0.16347586402416617,Sex Other,Big Five Openness To Experience Ideas %
profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_compliance_pct,0.9209766752642607,0.9209766752642607,Big Five Agreeableness Altruism %,Big Five Agreeableness Compliance %
profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_mean_pct,0.9642479958449681,0.9642479958449681,Big Five Agreeableness Altruism %,Big Five Agreeableness Mean %
profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_modesty_pct,0.9121698455744933,0.9121698455744933,Big Five Agreeableness Altruism %,Big Five Agreeableness Modesty %
profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,0.9068662896600431,0.9068662896600431,Big Five Agreeableness Altruism %,Big Five Agreeableness Straightforwardness %
profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,0.9109238857140526,0.9109238857140526,Big Five Agreeableness Altruism %,Big Five Agreeableness Tender Mindedness %
profile_cont_big_five_agreeableness_altruism_pct,profile_cont_big_five_agreeableness_trust_pct,0.9016847444868009,0.9016847444868009,Big Five Agreeableness Altruism %,Big Five Agreeableness Trust %
profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_mean_pct,0.9583855888896751,0.9583855888896751,Big Five Agreeableness Compliance %,Big Five Agreeableness Mean %
profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_modesty_pct,0.9000399048649446,0.9000399048649446,Big Five Agreeableness Compliance %,Big Five Agreeableness Modesty %
profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,0.9043975793402182,0.9043975793402182,Big Five Agreeableness Compliance %,Big Five Agreeableness Straightforwardness %
profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,0.9151369679541056,0.9151369679541056,Big Five Agreeableness Compliance %,Big Five Agreeableness Tender Mindedness %
profile_cont_big_five_agreeableness_compliance_pct,profile_cont_big_five_agreeableness_trust_pct,0.8960085455144672,0.8960085455144672,Big Five Agreeableness Compliance %,Big Five Agreeableness Trust %
profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_agreeableness_modesty_pct,0.9524595329534535,0.9524595329534535,Big Five Agreeableness Mean %,Big Five Agreeableness Modesty %
profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,0.9590007770843555,0.9590007770843555,Big Five Agreeableness Mean %,Big Five Agreeableness Straightforwardness %
profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,0.962423340771468,0.962423340771468,Big Five Agreeableness Mean %,Big Five Agreeableness Tender Mindedness %
profile_cont_big_five_agreeableness_mean_pct,profile_cont_big_five_agreeableness_trust_pct,0.9540608906180075,0.9540608906180075,Big Five Agreeableness Mean %,Big Five Agreeableness Trust %
profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_straightforwardness_pct,0.8948225891299522,0.8948225891299522,Big Five Agreeableness Modesty %,Big Five Agreeableness Straightforwardness %
profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,0.9027054760977422,0.9027054760977422,Big Five Agreeableness Modesty %,Big Five Agreeableness Tender Mindedness %
profile_cont_big_five_agreeableness_modesty_pct,profile_cont_big_five_agreeableness_trust_pct,0.8859921269783448,0.8859921269783448,Big Five Agreeableness Modesty %,Big Five Agreeableness Trust %
profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_tender_mindedness_pct,0.9056530181330247,0.9056530181330247,Big Five Agreeableness Straightforwardness %,Big Five Agreeableness Tender Mindedness %
profile_cont_big_five_agreeableness_straightforwardness_pct,profile_cont_big_five_agreeableness_trust_pct,0.9121570537698391,0.9121570537698391,Big Five Agreeableness Straightforwardness %,Big Five Agreeableness Trust %
profile_cont_big_five_agreeableness_tender_mindedness_pct,profile_cont_big_five_agreeableness_trust_pct,0.9053321371822093,0.9053321371822093,Big Five Agreeableness Tender Mindedness %,Big Five Agreeableness Trust %
profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_competence_pct,0.8943508997691763,0.8943508997691763,Big Five Conscientiousness Achievement Striving %,Big Five Conscientiousness Competence %
profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_deliberation_pct,0.920666449139105,0.920666449139105,Big Five Conscientiousness Achievement Striving %,Big Five Conscientiousness Deliberation %
profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,0.8879207920792078,0.8879207920792078,Big Five Conscientiousness Achievement Striving %,Big Five Conscientiousness Dutifulness %
profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_mean_pct,0.9557995799579957,0.9557995799579957,Big Five Conscientiousness Achievement Striving %,Big Five Conscientiousness Mean %
profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_order_pct,0.8956189356232989,0.8956189356232989,Big Five Conscientiousness Achievement Striving %,Big Five Conscientiousness Order %
profile_cont_big_five_conscientiousness_achievement_striving_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,0.8746939657871532,0.8746939657871532,Big Five Conscientiousness Achievement Striving %,Big Five Conscientiousness Self Discipline %
profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_deliberation_pct,0.9109070124378503,0.9109070124378503,Big Five Conscientiousness Competence %,Big Five Conscientiousness Deliberation %
profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,0.887186011320945,0.887186011320945,Big Five Conscientiousness Competence %,Big Five Conscientiousness Dutifulness %
profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_mean_pct,0.9521500668825466,0.9521500668825466,Big Five Conscientiousness Competence %,Big Five Conscientiousness Mean %
profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_order_pct,0.8895616431577383,0.8895616431577383,Big Five Conscientiousness Competence %,Big Five Conscientiousness Order %
profile_cont_big_five_conscientiousness_competence_pct,profile_cont_big_five_conscientiousness_self_discipline_pct,0.8683780994840616,0.8683780994840616,Big Five Conscientiousness Competence %,Big Five Conscientiousness Self Discipline %
profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_dutifulness_pct,0.8864258951267748,0.8864258951267748,Big Five Conscientiousness Deliberation %,Big Five Conscientiousness Dutifulness %
profile_cont_big_five_conscientiousness_deliberation_pct,profile_cont_big_five_conscientiousness_mean_pct,0.9660204812500744,0.9660204812500744,Big Five Conscientiousness Deliberation %,Big Five Conscientiousness Mean %
