term,label,ontology_group,permutation_importance_mean,permutation_importance_std,mdi_importance
profile_cont_big_five_neuroticism_mean_pct,Big Five Neuroticism Mean %,Big Five: Neuroticism,0.05421953572052852,0.011268053321777114,0.05978870299336217
profile_cont_big_five_neuroticism_anxiety_pct,Big Five Neuroticism Anxiety %,Big Five: Neuroticism,0.053435017258315363,0.010271009151829522,0.05988079479818689
profile_cont_big_five_neuroticism_depression_pct,Big Five Neuroticism Depression %,Big Five: Neuroticism,0.04625401368814055,0.009798781155463957,0.05612700844229953
profile_cont_big_five_neuroticism_anger_hostility_pct,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism,0.040507864069663474,0.00717198324867992,0.05327086943026582
profile_cont_big_five_openness_to_experience_aesthetics_pct,Big Five Openness To Experience Aesthetics %,Big Five: Openness,0.0370251678390515,0.006951142532864152,0.04402230574757973
profile_cont_big_five_neuroticism_stress_vulnerability_pct,Big Five Neuroticism Stress Vulnerability %,Big Five: Neuroticism,0.03676981789355576,0.0074461109164188875,0.04914813462478241
profile_cont_big_five_openness_to_experience_ideas_pct,Big Five Openness To Experience Ideas %,Big Five: Openness,0.034816637602777624,0.00573973927400067,0.046695357658479784
profile_cont_big_five_openness_to_experience_mean_pct,Big Five Openness To Experience Mean %,Big Five: Openness,0.03395108500307291,0.006320811112414359,0.04354038086393212
profile_cont_big_five_neuroticism_impulsiveness_pct,Big Five Neuroticism Impulsiveness %,Big Five: Neuroticism,0.03108200348683682,0.0054053539702015475,0.04634914794157989
profile_cont_big_five_neuroticism_self_consciousness_pct,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism,0.030300872846312606,0.006256059999022468,0.04360486453155384
profile_cont_big_five_openness_to_experience_fantasy_pct,Big Five Openness To Experience Fantasy %,Big Five: Openness,0.029899532950221266,0.004628309514103865,0.03812373277462337
profile_cont_big_five_openness_to_experience_feelings_pct,Big Five Openness To Experience Feelings %,Big Five: Openness,0.028496478359335286,0.0054872730749229714,0.03268313699774203
profile_cont_big_five_openness_to_experience_actions_pct,Big Five Openness To Experience Actions %,Big Five: Openness,0.026899650536936673,0.004220145481564927,0.032341070990554416
profile_cont_big_five_conscientiousness_deliberation_pct,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness,0.022680620594424585,0.004406385852177377,0.02031618658047978
profile_cont_big_five_openness_to_experience_values_pct,Big Five Openness To Experience Values %,Big Five: Openness,0.021992482285583977,0.004107157224212619,0.02413803982418392
profile_cont_big_five_conscientiousness_competence_pct,Big Five Conscientiousness Competence %,Big Five: Conscientiousness,0.021867522042991673,0.0040316094839735256,0.02145750602195843
profile_cont_big_five_agreeableness_tender_mindedness_pct,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness,0.01975425166395682,0.002600823887098308,0.021232571779219778
profile_cont_big_five_extraversion_assertiveness_pct,Big Five Extraversion Assertiveness %,Big Five: Extraversion,0.015088687045644898,0.0028051630189024354,0.02093894042976635
profile_cont_big_five_extraversion_positive_emotions_pct,Big Five Extraversion Positive Emotions %,Big Five: Extraversion,0.014452423481982349,0.0022039352950305783,0.018424284504434688
profile_cont_big_five_conscientiousness_order_pct,Big Five Conscientiousness Order %,Big Five: Conscientiousness,0.014404273504638404,0.002746026628436568,0.016509170843086972
profile_cont_big_five_extraversion_activity_level_pct,Big Five Extraversion Activity Level %,Big Five: Extraversion,0.01283349056727722,0.0016779263498412037,0.020042005368270752
profile_cont_big_five_conscientiousness_achievement_striving_pct,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness,0.012692929358821022,0.0020677161677563265,0.01669289693341186
profile_cont_big_five_extraversion_gregariousness_pct,Big Five Extraversion Gregariousness %,Big Five: Extraversion,0.012285720755482005,0.0018257806002839787,0.016537256717375697
profile_cont_big_five_agreeableness_modesty_pct,Big Five Agreeableness Modesty %,Big Five: Agreeableness,0.011923189437245406,0.001991314458969294,0.014838524396738445
profile_cont_big_five_agreeableness_altruism_pct,Big Five Agreeableness Altruism %,Big Five: Agreeableness,0.011766833696106215,0.0019453161702170276,0.015686499340893858
profile_cont_big_five_agreeableness_straightforwardness_pct,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness,0.011050234664570769,0.002066552610745291,0.013843169934470215
profile_cont_big_five_extraversion_excitement_seeking_pct,Big Five Extraversion Excitement Seeking %,Big Five: Extraversion,0.010932761580055796,0.0018506051380392818,0.017109677214413185
profile_cont_big_five_extraversion_warmth_pct,Big Five Extraversion Warmth %,Big Five: Extraversion,0.010399341253185972,0.0019747522885542315,0.015402562985545938
profile_cont_chronological_age,Chronological Age,Demographics: Age,0.010204859397704033,0.0020963779684648235,0.014011927619133918
profile_cont_big_five_conscientiousness_dutifulness_pct,Big Five Conscientiousness Dutifulness %,Big Five: Conscientiousness,0.010018293145785045,0.0017471142376476517,0.015024596299912634
profile_cont_big_five_conscientiousness_self_discipline_pct,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness,0.009802849432060173,0.0009822778136170949,0.013309686517957579
profile_cont_big_five_agreeableness_compliance_pct,Big Five Agreeableness Compliance %,Big Five: Agreeableness,0.009597814017355428,0.0013857763975715163,0.012210097552593184
profile_cat__profile_cat_sex_Female,Sex Female,Demographics: Sex,0.009572850693821402,0.002230082194603144,0.008595627996464177
profile_cont_big_five_extraversion_mean_pct,Big Five Extraversion Mean %,Big Five: Extraversion,0.009474284895015263,0.0015630744608003135,0.014228480835964803
profile_cont_big_five_agreeableness_mean_pct,Big Five Agreeableness Mean %,Big Five: Agreeableness,0.008988856197922392,0.001173143245225906,0.012435167200319104
