term,importance_mean,importance_sd,n_folds,label,ontology_group
profile_cont_big_five_openness_to_experience_aesthetics_pct,0.0034881347508830623,0.003951964105288013,5,Big Five Openness To Experience Aesthetics %,Big Five: Openness
profile_cont_big_five_neuroticism_self_consciousness_pct,0.0028046582322248602,0.002531824907597007,5,Big Five Neuroticism Self Consciousness %,Big Five: Neuroticism
profile_cat__profile_cat_sex_Female,0.0013105100398944913,0.001257034161432752,5,Sex Female,Demographics: Sex
profile_cont_big_five_neuroticism_depression_pct,0.0008704459414629661,0.005973405322160973,5,Big Five Neuroticism Depression %,Big Five: Neuroticism
profile_cont_big_five_agreeableness_tender_mindedness_pct,0.0008508726480352724,0.00592118594680163,5,Big Five Agreeableness Tender Mindedness %,Big Five: Agreeableness
profile_cont_big_five_openness_to_experience_mean_pct,0.0007845539022667963,0.0021283670892573003,5,Big Five Openness To Experience Mean %,Big Five: Openness
profile_cat__profile_cat_sex_Male,0.0006888520324294017,0.0016839206462931809,5,Sex Male,Demographics: Sex
profile_cat__profile_cat_sex_Other,0.0006617097617249379,0.0006498511503027134,5,Sex Other,Demographics: Sex
profile_cont_big_five_openness_to_experience_fantasy_pct,0.0005495969689317676,0.0024657687729718373,5,Big Five Openness To Experience Fantasy %,Big Five: Openness
profile_cont_big_five_extraversion_gregariousness_pct,0.0005263533092416117,0.0015487931782478751,5,Big Five Extraversion Gregariousness %,Big Five: Extraversion
profile_cont_big_five_extraversion_assertiveness_pct,0.0004976697005670799,0.002544870956201018,5,Big Five Extraversion Assertiveness %,Big Five: Extraversion
profile_cont_big_five_conscientiousness_achievement_striving_pct,0.000488606452234655,0.0016763683941093848,5,Big Five Conscientiousness Achievement Striving %,Big Five: Conscientiousness
profile_cont_big_five_agreeableness_straightforwardness_pct,0.00027222508991440184,0.003300203753246305,5,Big Five Agreeableness Straightforwardness %,Big Five: Agreeableness
profile_cont_big_five_neuroticism_anger_hostility_pct,0.00011477579264431437,0.002633714699933828,5,Big Five Neuroticism Anger Hostility %,Big Five: Neuroticism
profile_cont_big_five_conscientiousness_self_discipline_pct,-4.835377750551095e-05,0.003158095416458435,5,Big Five Conscientiousness Self Discipline %,Big Five: Conscientiousness
profile_cont_big_five_agreeableness_modesty_pct,-0.0001095231064003832,0.0030404815530888914,5,Big Five Agreeableness Modesty %,Big Five: Agreeableness
profile_cont_big_five_conscientiousness_order_pct,-0.0001329046203945333,0.002771702140188425,5,Big Five Conscientiousness Order %,Big Five: Conscientiousness
profile_cont_big_five_extraversion_mean_pct,-0.0001973689631110137,0.0009878339732722137,5,Big Five Extraversion Mean %,Big Five: Extraversion
profile_cont_big_five_agreeableness_compliance_pct,-0.0003672370442089318,0.0036703474357855665,5,Big Five Agreeableness Compliance %,Big Five: Agreeableness
profile_cont_big_five_openness_to_experience_actions_pct,-0.00045191150776920097,0.0031455656749069826,5,Big Five Openness To Experience Actions %,Big Five: Openness
profile_cont_big_five_conscientiousness_deliberation_pct,-0.0006772641332007029,0.0019456581085479474,5,Big Five Conscientiousness Deliberation %,Big Five: Conscientiousness
profile_cont_big_five_conscientiousness_competence_pct,-0.0006920436957148779,0.0029481246012469007,5,Big Five Conscientiousness Competence %,Big Five: Conscientiousness
profile_cont_big_five_agreeableness_mean_pct,-0.0008009878055568853,0.0037428808996446358,5,Big Five Agreeableness Mean %,Big Five: Agreeableness
