model,fold,cv_r2,rmse,n_test
M0_context,0,0.2883706125372403,13.602616714084506,700
M0_context,1,0.2273010775983172,14.669914633593146,700
M0_context,2,0.25771307596871484,13.50288503251636,700
M0_context,3,0.2575589664803628,14.190803678398337,700
M0_context,4,0.2542639727882364,13.721061013897405,700
M0b_context_baseline,0,0.2892385778669142,13.594318713611335,700
M0b_context_baseline,1,0.22732388843318896,14.669698096815175,700
M0b_context_baseline,2,0.25146182458248834,13.559623844409334,700
M0b_context_baseline,3,0.25886238311283616,14.178341641759918,700
M0b_context_baseline,4,0.2554453705595918,13.710188228220725,700
M1_profile_linear,0,0.29304015686499907,13.55791467979427,700
M1_profile_linear,1,0.22642608728286184,14.67821825683747,700
M1_profile_linear,2,0.24935406147847639,13.578701283979765,700
M1_profile_linear,3,0.26005981497462693,14.166883269707736,700
M1_profile_linear,4,0.2527318812756105,13.73514852892479,700
M2_profile_boosted,0,0.1671859344521176,14.715314536128963,700
M2_profile_boosted,1,0.19988192937327975,14.927925976323555,700
M2_profile_boosted,2,0.22569269049547291,13.79105036115211,700
M2_profile_boosted,3,0.2684271037696352,14.08655554582908,700
M2_profile_boosted,4,0.22725977803734265,13.967281699279184,700
