opinion_domain,provider_key,mean_adversarial_effectivity,mean_abs_delta_score,n_items
Critical_Infrastructure_And_Energy_Sovereignty,deepseek_v4_flash,19.72222222222222,19.72222222222222,36
Critical_Infrastructure_And_Energy_Sovereignty,gpt_oss_120b,51.166666666666664,51.166666666666664,36
Critical_Infrastructure_And_Energy_Sovereignty,llama33_70b,35.916666666666664,35.916666666666664,36
Critical_Infrastructure_And_Energy_Sovereignty,nemotron3_nano_30b,626.8055555555555,626.8055555555555,36
Critical_Infrastructure_And_Energy_Sovereignty,qwen3_32b,14.305555555555555,14.305555555555555,36
Defense_And_National_Security,deepseek_v4_flash,14.492063492063492,14.492063492063492,63
Defense_And_National_Security,gpt_oss_120b,39.857142857142854,39.857142857142854,63
Defense_And_National_Security,llama33_70b,30.38095238095238,30.38095238095238,63
Defense_And_National_Security,nemotron3_nano_30b,557.2222222222222,557.2222222222222,63
Defense_And_National_Security,qwen3_32b,21.936507936507937,21.936507936507937,63
Democratic_Resilience_And_Institutions,deepseek_v4_flash,15.893333333333333,15.893333333333333,75
Democratic_Resilience_And_Institutions,gpt_oss_120b,41.76,41.76,75
Democratic_Resilience_And_Institutions,llama33_70b,35.4,35.4,75
Democratic_Resilience_And_Institutions,nemotron3_nano_30b,48.25333333333333,48.25333333333333,75
Democratic_Resilience_And_Institutions,qwen3_32b,20.133333333333333,20.133333333333333,75
Foreign_Policy_And_Geopolitics,deepseek_v4_flash,15.5,15.5,66
Foreign_Policy_And_Geopolitics,gpt_oss_120b,38.92424242424242,38.92424242424242,66
Foreign_Policy_And_Geopolitics,llama33_70b,30.0,30.0,66
Foreign_Policy_And_Geopolitics,nemotron3_nano_30b,19.681818181818183,19.681818181818183,66
Foreign_Policy_And_Geopolitics,qwen3_32b,13.93939393939394,13.93939393939394,66
Information_Integrity_And_Platforms,deepseek_v4_flash,13.666666666666666,13.666666666666666,54
Information_Integrity_And_Platforms,gpt_oss_120b,43.574074074074076,43.574074074074076,54
Information_Integrity_And_Platforms,llama33_70b,26.425925925925927,26.425925925925927,54
Information_Integrity_And_Platforms,nemotron3_nano_30b,178.94444444444446,178.94444444444446,54
Information_Integrity_And_Platforms,qwen3_32b,18.75925925925926,18.75925925925926,54
Macroeconomic_And_Fiscal_Policy,deepseek_v4_flash,45.666666666666664,45.666666666666664,3
Macroeconomic_And_Fiscal_Policy,gpt_oss_120b,32.0,32.0,3
Macroeconomic_And_Fiscal_Policy,llama33_70b,88.33333333333333,88.33333333333333,3
Macroeconomic_And_Fiscal_Policy,nemotron3_nano_30b,0.0,0.0,3
Macroeconomic_And_Fiscal_Policy,qwen3_32b,27.666666666666668,27.666666666666668,3
Supranational_And_Regional_Integration,deepseek_v4_flash,5.214285714285714,5.214285714285714,14
Supranational_And_Regional_Integration,gpt_oss_120b,31.714285714285715,31.714285714285715,14
Supranational_And_Regional_Integration,llama33_70b,59.714285714285715,59.714285714285715,14
Supranational_And_Regional_Integration,nemotron3_nano_30b,0.0,0.0,14
Supranational_And_Regional_Integration,qwen3_32b,9.0,9.0,14
